"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","0.6069","0.6079","0.6084","0.6057","","-0.13%"
"04/04/2024","0.6077","0.6059","0.6094","0.6054","","0.35%"
"04/03/2024","0.6056","0.6048","0.6066","0.6036","","0.08%"
"04/02/2024","0.6051","0.6040","0.6068","0.6037","","0.20%"
"04/01/2024","0.6039","0.6043","0.6058","0.6031","","-0.03%"
"03/29/2024","0.6041","0.6039","0.6053","0.6031","","0.07%"
"03/28/2024","0.6037","0.6035","0.6044","0.6014","","0.07%"
"03/27/2024","0.6033","0.6032","0.6040","0.6015","","0.07%"
"03/26/2024","0.6029","0.6034","0.6046","0.6026","","-0.07%"
"03/25/2024","0.6033","0.6036","0.6049","0.6022","","0.12%"
"03/22/2024","0.6026","0.6050","0.6056","0.6015","","-0.36%"
"03/21/2024","0.6048","0.6030","0.6072","0.6022","","0.32%"
"03/20/2024","0.6029","0.6012","0.6033","0.6003","","0.35%"
"03/19/2024","0.6008","0.6032","0.6037","0.5993","","-0.38%"
"03/18/2024","0.6031","0.6026","0.6037","0.6019","","0.13%"
"03/15/2024","0.6023","0.6045","0.6051","0.6018","","-0.36%"
"03/14/2024","0.6045","0.6048","0.6060","0.6035","","0.00%"
"03/13/2024","0.6045","0.6047","0.6058","0.6039","","0.02%"
"03/12/2024","0.6044","0.6053","0.6069","0.6023","","-0.13%"
"03/11/2024","0.6052","0.6061","0.6068","0.6035","","-0.08%"
"03/08/2024","0.6057","0.6047","0.6083","0.6040","","0.20%"
"03/07/2024","0.6045","0.6023","0.6085","0.6019","","0.40%"
"03/06/2024","0.6021","0.5989","0.6034","0.5982","","0.53%"
"03/05/2024","0.5989","0.5999","0.6001","0.5971","","-0.10%"
"03/04/2024","0.5995","0.6021","0.6027","0.5993","","-0.37%"
"03/01/2024","0.6017","0.6015","0.6033","0.6003","","0.12%"
"02/29/2024","0.6010","0.5997","0.6025","0.5987","","0.28%"
"02/28/2024","0.5993","0.6035","0.6040","0.5989","","-0.65%"
"02/27/2024","0.6032","0.6028","0.6043","0.6012","","0.10%"
"02/26/2024","0.6026","0.6061","0.6073","0.6019","","-0.58%"
"02/23/2024","0.6061","0.6058","0.6076","0.6054","","0.15%"
"02/22/2024","0.6052","0.6055","0.6074","0.6045","","-0.02%"
"02/21/2024","0.6053","0.6059","0.6079","0.6047","","-0.10%"
"02/20/2024","0.6059","0.6066","0.6080","0.6057","","-0.07%"
"02/19/2024","0.6063","0.6058","0.6076","0.6054","","0.05%"
"02/16/2024","0.6060","0.6055","0.6070","0.6044","","0.08%"
"02/15/2024","0.6055","0.6051","0.6063","0.6037","","0.08%"
"02/14/2024","0.6050","0.6026","0.6058","0.6019","","0.43%"
"02/13/2024","0.6024","0.6062","0.6065","0.6018","","-0.59%"
"02/12/2024","0.6060","0.6045","0.6071","0.6033","","0.20%"
"02/09/2024","0.6048","0.6025","0.6057","0.6020","","0.45%"
"02/08/2024","0.6021","0.6053","0.6060","0.6018","","-0.46%"
"02/07/2024","0.6049","0.6066","0.6077","0.6047","","-0.26%"
"02/06/2024","0.6065","0.6034","0.6069","0.6029","","0.53%"
"02/05/2024","0.6033","0.6041","0.6054","0.6022","","-0.05%"
"02/02/2024","0.6036","0.6044","0.6076","0.6030","","-0.12%"
"02/01/2024","0.6043","0.6072","0.6085","0.6018","","-0.40%"
"01/31/2024","0.6067","0.6087","0.6095","0.6059","","-0.30%"
"01/30/2024","0.6085","0.6103","0.6118","0.6068","","-0.26%"
"01/29/2024","0.6101","0.6061","0.6109","0.6057","","0.74%"
"01/26/2024","0.6056","0.6071","0.6087","0.6054","","-0.18%"
"01/25/2024","0.6067","0.6042","0.6089","0.6034","","0.45%"
"01/24/2024","0.6040","0.6062","0.6071","0.6038","","-0.33%"
"01/23/2024","0.6060","0.6037","0.6072","0.6033","","0.40%"
"01/22/2024","0.6036","0.6050","0.6067","0.6033","","-0.28%"
"01/19/2024","0.6053","0.6043","0.6069","0.6035","","0.22%"
"01/18/2024","0.6040","0.6022","0.6048","0.5997","","0.38%"
"01/17/2024","0.6017","0.6055","0.6063","0.6011","","-0.58%"
"01/16/2024","0.6052","0.6083","0.6088","0.6050","","-0.48%"
"01/15/2024","0.6081","0.6108","0.6118","0.6072","","-0.36%"
"01/12/2024","0.6103","0.6094","0.6129","0.6090","","0.16%"
"01/11/2024","0.6093","0.6106","0.6126","0.6073","","-0.16%"
"01/10/2024","0.6103","0.6117","0.6137","0.6099","","-0.21%"
"01/09/2024","0.6116","0.6136","0.6144","0.6109","","-0.29%"
"01/08/2024","0.6134","0.6141","0.6151","0.6096","","-0.02%"
"01/05/2024","0.6135","0.6127","0.6141","0.6102","","0.16%"
"01/04/2024","0.6125","0.6162","0.6184","0.6116","","-0.60%"
"01/03/2024","0.6162","0.6176","0.6190","0.6143","","-0.24%"
"01/02/2024","0.6177","0.6170","0.6202","0.6162","","0.18%"
"01/01/2024","0.6166","0.6172","0.6178","0.6161","","-0.06%"
"12/29/2023","0.6170","0.6175","0.6187","0.6133","","-0.05%"
"12/28/2023","0.6173","0.6166","0.6188","0.6128","","0.16%"
"12/27/2023","0.6163","0.6178","0.6198","0.6155","","-0.24%"
"12/26/2023","0.6178","0.6173","0.6188","0.6166","","0.10%"
"12/25/2023","0.6172","0.6172","0.6186","0.6152","","-0.02%"
"12/22/2023","0.6173","0.6178","0.6187","0.6158","","-0.05%"
"12/21/2023","0.6176","0.6151","0.6187","0.6144","","0.42%"
"12/20/2023","0.6150","0.6158","0.6193","0.6148","","-0.08%"
"12/19/2023","0.6155","0.6141","0.6172","0.6133","","0.29%"
"12/18/2023","0.6137","0.6149","0.6169","0.6125","","-0.13%"
"12/15/2023","0.6145","0.6094","0.6166","0.6087","","0.89%"
"12/14/2023","0.6091","0.6126","0.6172","0.6089","","-0.49%"
"12/13/2023","0.6121","0.6077","0.6135","0.6066","","0.77%"
"12/12/2023","0.6074","0.6101","0.6129","0.6068","","-0.39%"
"12/11/2023","0.6098","0.6114","0.6119","0.6085","","-0.20%"
"12/08/2023","0.6110","0.6116","0.6140","0.6104","","-0.07%"
"12/07/2023","0.6114","0.6085","0.6122","0.6063","","0.54%"
"12/06/2023","0.6081","0.6068","0.6114","0.6065","","0.23%"
"12/05/2023","0.6067","0.6108","0.6116","0.6053","","-0.67%"
"12/04/2023","0.6108","0.6127","0.6148","0.6104","","-0.39%"
"12/01/2023","0.6132","0.6066","0.6140","0.6049","","1.10%"
"11/30/2023","0.6065","0.6033","0.6083","0.6027","","0.56%"
"11/29/2023","0.6031","0.6048","0.6062","0.6021","","-0.26%"
"11/28/2023","0.6047","0.6030","0.6059","0.6026","","0.28%"
"11/27/2023","0.6030","0.6015","0.6040","0.5999","","0.25%"
"11/24/2023","0.6015","0.6011","0.6026","0.6009","","0.05%"
"11/23/2023","0.6012","0.6009","0.6026","0.6004","","0.10%"
"11/22/2023","0.6006","0.6009","0.6026","0.5987","","0.00%"
"11/21/2023","0.6006","0.5992","0.6016","0.5989","","0.23%"
"11/20/2023","0.5992","0.5968","0.6010","0.5957","","0.45%"
"11/17/2023","0.5965","0.5963","0.5993","0.5950","","0.07%"
"11/16/2023","0.5961","0.5998","0.6005","0.5951","","-0.62%"
"11/15/2023","0.5998","0.5980","0.6014","0.5964","","0.30%"
"11/14/2023","0.5980","0.5961","0.5986","0.5936","","0.35%"
"11/13/2023","0.5959","0.5950","0.5976","0.5939","","0.05%"
"11/10/2023","0.5956","0.5968","0.5974","0.5939","","-0.15%"
"11/09/2023","0.5965","0.5979","0.6001","0.5965","","-0.22%"
"11/08/2023","0.5978","0.6011","0.6036","0.5975","","-0.58%"
"11/07/2023","0.6013","0.6054","0.6070","0.6000","","-0.66%"
"11/06/2023","0.6053","0.6065","0.6079","0.6044","","-0.23%"
"11/03/2023","0.6067","0.6058","0.6077","0.6047","","0.18%"
"11/02/2023","0.6056","0.6049","0.6079","0.6033","","0.17%"
"11/01/2023","0.6046","0.5993","0.6061","0.5978","","0.95%"
"10/31/2023","0.5989","0.6005","0.6010","0.5964","","-0.25%"
"10/30/2023","0.6004","0.6001","0.6029","0.5992","","0.17%"
"10/27/2023","0.5994","0.5987","0.6026","0.5983","","0.17%"
"10/26/2023","0.5984","0.5968","0.6001","0.5943","","0.23%"
"10/25/2023","0.5970","0.6000","0.6041","0.5965","","-0.50%"
"10/24/2023","0.6000","0.5939","0.6007","0.5933","","1.08%"
"10/23/2023","0.5936","0.5964","0.5975","0.5935","","-0.37%"
"10/20/2023","0.5958","0.5982","0.5985","0.5954","","-0.33%"
"10/19/2023","0.5978","0.6015","0.6019","0.5971","","-0.57%"
"10/18/2023","0.6012","0.6017","0.6043","0.6010","","-0.05%"
"10/17/2023","0.6015","0.6005","0.6036","0.5999","","0.17%"
"10/16/2023","0.6005","0.5994","0.6015","0.5984","","0.35%"
"10/13/2023","0.5984","0.5998","0.6009","0.5984","","-0.20%"
"10/12/2023","0.5996","0.6038","0.6050","0.5989","","-0.70%"
"10/11/2023","0.6038","0.6065","0.6074","0.6033","","-0.41%"
"10/10/2023","0.6063","0.6066","0.6083","0.6038","","-0.03%"
"10/09/2023","0.6065","0.6008","0.6071","0.6004","","0.61%"
"10/06/2023","0.6028","0.6038","0.6053","0.6006","","-0.13%"
"10/05/2023","0.6036","0.6018","0.6060","0.6012","","0.30%"
"10/04/2023","0.6018","0.6022","0.6044","0.6008","","-0.02%"
"10/03/2023","0.6019","0.6073","0.6077","0.6007","","-0.86%"
"10/02/2023","0.6071","0.6083","0.6101","0.6052","","-0.23%"
"09/29/2023","0.6085","0.6086","0.6130","0.6077","","0.07%"
"09/28/2023","0.6081","0.6050","0.6089","0.6039","","0.56%"
"09/27/2023","0.6047","0.6053","0.6073","0.6030","","-0.03%"
"09/26/2023","0.6049","0.6064","0.6075","0.6039","","-0.23%"
"09/25/2023","0.6063","0.6054","0.6072","0.6026","","0.31%"
"09/22/2023","0.6044","0.6021","0.6073","0.6010","","0.42%"
