"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","60.85","60.78","61.19","60.07","","0.15%"
"04/04/2024","60.76","60.59","62.33","59.86","","0.31%"
"04/03/2024","60.57","60.24","60.81","59.66","","0.52%"
"04/02/2024","60.26","59.89","60.74","59.71","","0.65%"
"04/01/2024","59.87","60.37","60.54","59.65","","-0.82%"
"03/29/2024","60.37","60.32","60.50","59.96","","0.36%"
"03/28/2024","60.15","60.42","60.60","59.62","","-0.41%"
"03/27/2024","60.39","60.42","60.72","59.88","","-0.01%"
"03/26/2024","60.40","60.75","60.97","59.86","","-0.56%"
"03/25/2024","60.74","60.09","61.09","59.95","","1.23%"
"03/22/2024","60.01","60.36","61.25","59.61","","-0.57%"
"03/21/2024","60.35","60.76","61.38","60.20","","-0.65%"
"03/20/2024","60.74","60.41","60.78","60.09","","0.86%"
"03/19/2024","60.23","60.16","60.67","59.47","","0.41%"
"03/18/2024","59.98","60.71","61.35","59.95","","-1.18%"
"03/15/2024","60.69","60.21","61.06","60.01","","0.79%"
"03/14/2024","60.22","60.48","60.92","60.09","","-0.41%"
"03/13/2024","60.47","60.67","61.12","59.89","","-0.14%"
"03/12/2024","60.56","60.19","60.77","59.86","","0.64%"
"03/11/2024","60.18","60.30","61.21","58.71","","-0.06%"
"03/08/2024","60.21","60.01","60.87","59.86","","0.36%"
"03/07/2024","60.00","59.58","60.40","59.52","","0.74%"
"03/06/2024","59.56","59.15","60.05","58.50","","0.68%"
"03/05/2024","59.16","59.56","59.65","58.67","","-0.36%"
"03/04/2024","59.37","59.84","59.98","59.30","","-0.74%"
"03/01/2024","59.81","59.47","60.23","58.90","","0.65%"
"02/29/2024","59.43","59.47","60.00","58.54","","-0.07%"
"02/28/2024","59.47","60.24","60.28","59.18","","-1.23%"
"02/27/2024","60.21","60.59","60.81","59.93","","-0.62%"
"02/26/2024","60.58","61.40","61.80","59.99","","-1.34%"
"02/23/2024","61.41","61.02","63.13","60.29","","0.71%"
"02/22/2024","60.97","60.27","62.41","60.01","","1.19%"
"02/21/2024","60.26","60.48","61.24","59.77","","-0.09%"
"02/20/2024","60.31","60.41","60.87","59.37","","-0.09%"
"02/19/2024","60.37","60.05","60.82","59.51","","0.47%"
"02/16/2024","60.08","60.20","61.18","59.86","","-0.19%"
"02/15/2024","60.20","59.49","60.51","58.04","","1.21%"
"02/14/2024","59.48","59.04","59.72","58.78","","0.75%"
"02/13/2024","59.03","59.54","59.74","57.79","","-0.88%"
"02/12/2024","59.56","59.32","59.72","59.14","","0.34%"
"02/09/2024","59.36","59.21","60.11","57.80","","0.30%"
"02/08/2024","59.18","59.72","60.05","58.87","","-0.88%"
"02/07/2024","59.70","59.06","60.11","58.94","","1.12%"
"02/06/2024","59.04","58.69","59.69","58.10","","0.60%"
"02/05/2024","58.69","59.30","59.59","58.45","","-0.95%"
"02/02/2024","59.26","59.42","60.29","58.74","","-0.26%"
"02/01/2024","59.41","59.07","59.55","58.55","","0.61%"
"01/31/2024","59.05","59.14","59.67","58.44","","-0.13%"
"01/30/2024","59.13","59.02","59.46","58.32","","0.20%"
"01/29/2024","59.01","59.06","59.69","57.73","","0.02%"
"01/26/2024","59.00","58.61","59.52","58.41","","0.71%"
"01/25/2024","58.58","58.37","59.06","58.11","","0.39%"
"01/24/2024","58.36","58.47","58.76","57.87","","-0.17%"
"01/23/2024","58.46","57.82","58.62","57.71","","1.12%"
"01/22/2024","57.81","58.13","58.39","57.53","","-0.61%"
"01/19/2024","58.17","58.77","59.00","57.39","","-0.99%"
"01/18/2024","58.75","58.08","59.30","57.72","","1.21%"
"01/17/2024","58.05","58.01","58.44","57.06","","0.09%"
"01/16/2024","57.99","58.43","58.71","57.34","","-0.73%"
"01/15/2024","58.42","59.07","59.30","58.07","","-0.64%"
"01/12/2024","58.80","59.17","59.77","58.82","","-0.64%"
"01/11/2024","59.18","59.85","60.21","58.58","","-1.15%"
"01/10/2024","59.87","59.94","60.42","59.62","","-0.12%"
"01/09/2024","59.94","61.08","61.56","59.63","","-1.86%"
"01/08/2024","61.07","61.10","61.39","60.08","","0.06%"
"01/05/2024","61.03","61.30","61.82","60.46","","-0.35%"
"01/04/2024","61.25","61.92","62.47","61.04","","-1.08%"
"01/03/2024","61.91","61.17","62.61","60.82","","1.29%"
"01/02/2024","61.12","60.82","62.20","60.70","","0.56%"
"01/01/2024","60.79","60.79","60.88","60.73","","0.01%"
"12/29/2023","60.78","60.45","62.37","60.36","","0.57%"
"12/28/2023","60.43","62.74","63.12","60.18","","-3.64%"
"12/27/2023","62.71","62.52","63.43","62.11","","0.30%"
"12/26/2023","62.53","62.65","62.71","62.17","","0.02%"
"12/25/2023","62.51","62.61","62.74","60.74","","-0.19%"
"12/22/2023","62.63","63.17","63.52","61.47","","-0.84%"
"12/21/2023","63.16","61.00","63.25","60.63","","3.55%"
"12/20/2023","60.99","61.20","62.09","60.45","","-0.28%"
"12/19/2023","61.17","60.73","61.48","60.17","","0.78%"
"12/18/2023","60.69","60.74","61.60","60.25","","0.00%"
"12/15/2023","60.70","59.98","61.80","58.44","","1.24%"
"12/14/2023","59.95","59.52","60.99","59.28","","0.78%"
"12/13/2023","59.49","59.20","59.99","58.08","","0.51%"
"12/12/2023","59.19","59.76","60.24","58.87","","-0.43%"
"12/11/2023","59.44","60.64","60.69","58.82","","-1.92%"
"12/08/2023","60.60","61.00","61.22","59.78","","-0.66%"
"12/07/2023","61.01","60.85","61.28","60.24","","0.58%"
"12/06/2023","60.66","59.11","61.50","58.60","","2.63%"
"12/05/2023","59.10","60.57","60.91","58.79","","-2.41%"
"12/04/2023","60.56","60.84","61.05","59.85","","-0.53%"
"12/01/2023","60.88","59.44","60.92","58.47","","2.46%"
"11/30/2023","59.42","58.70","59.77","58.21","","1.24%"
"11/29/2023","58.69","59.09","59.59","58.24","","-0.66%"
"11/28/2023","59.08","58.84","59.78","58.17","","0.41%"
"11/27/2023","58.84","58.77","58.95","58.02","","0.11%"
"11/24/2023","58.77","58.07","59.30","57.69","","1.20%"
"11/23/2023","58.08","57.84","58.87","57.15","","0.44%"
"11/22/2023","57.82","57.85","58.12","57.19","","-0.02%"
"11/21/2023","57.83","58.04","58.53","57.04","","-0.37%"
"11/20/2023","58.05","58.42","59.14","56.76","","-0.58%"
"11/17/2023","58.39","57.78","58.97","57.14","","1.01%"
