"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","391.000","391.900","391.900","391.000","","-0.23%"
"04/04/2024","391.900","388.600","391.900","388.600","","0.85%"
"04/03/2024","388.600","391.200","391.200","388.600","","-0.66%"
"04/02/2024","391.200","395.500","395.500","391.200","","-1.09%"
"04/01/2024","395.500","395.500","395.500","395.500","","-6.57%"
"03/29/2024","423.310","425.620","426.965","424.060","","-0.26%"
"03/28/2024","424.430","427.370","428.255","423.860","","-0.42%"
"03/27/2024","426.230","428.980","431.100","426.415","","-0.38%"
"03/26/2024","427.840","431.075","432.740","427.390","","-0.49%"
"03/25/2024","429.930","429.900","436.330","427.710","","0.29%"
"03/22/2024","428.700","432.750","435.725","429.485","","-0.69%"
"03/21/2024","431.660","436.610","437.485","432.550","","-0.85%"
"03/20/2024","435.380","435.940","438.045","433.210","","0.11%"
"03/19/2024","434.890","437.640","438.885","434.080","","-0.63%"
"03/18/2024","437.640","438.445","440.425","435.785","","-0.15%"
"03/15/2024","438.280","438.315","440.445","436.460","","-0.01%"
"03/14/2024","438.315","440.910","442.465","437.055","","-0.58%"
"03/13/2024","440.890","440.045","442.990","438.875","","0.18%"
"03/12/2024","440.085","440.280","442.355","438.240","","-0.06%"
"03/11/2024","440.340","441.805","442.780","439.120","","-0.11%"
"03/08/2024","440.840","441.750","443.655","439.610","","0.44%"
"03/07/2024","438.930","439.960","443.055","438.410","","0.33%"
"03/06/2024","437.500","438.565","441.640","437.475","","0.32%"
"03/05/2024","436.090","438.305","440.250","437.300","","0.07%"
"03/04/2024","435.780","438.015","440.025","436.640","","-0.09%"
"03/01/2024","436.180","438.890","440.325","436.110","","-0.63%"
"02/29/2024","438.950","439.945","441.265","435.815","","-0.24%"
"02/28/2024","440.025","440.535","441.155","436.230","","-0.13%"
"02/27/2024","440.615","440.060","441.730","436.860","","0.11%"
"02/26/2024","440.140","437.750","441.605","436.550","","0.19%"
"02/23/2024","439.285","439.720","440.640","435.985","","-0.11%"
"02/22/2024","439.760","439.395","442.705","435.795","","0.06%"
"02/21/2024","439.515","438.760","440.110","435.845","","0.19%"
"02/20/2024","438.680","437.620","440.495","434.510","","0.24%"
"02/19/2024","437.620","437.235","438.760","434.480","","0.09%"
"02/16/2024","437.235","437.260","438.740","433.170","","-0.03%"
"02/15/2024","437.385","435.245","438.545","432.230","","0.49%"
"02/14/2024","435.265","432.910","436.795","431.445","","0.82%"
"02/13/2024","431.740","437.295","438.730","431.465","","-1.28%"
"02/12/2024","437.335","437.830","439.300","434.285","","-0.11%"
"02/09/2024","437.830","437.890","439.115","434.275","","0.00%"
"02/08/2024","437.850","437.335","438.750","433.990","","0.11%"
"02/07/2024","437.380","436.650","438.770","433.690","","0.17%"
"02/06/2024","436.630","436.430","437.750","432.905","","0.05%"
"02/05/2024","436.430","435.670","438.610","432.615","","-0.34%"
"02/02/2024","437.910","441.415","442.750","435.050","","-0.79%"
"02/01/2024","441.395","438.510","441.975","434.300","","0.62%"
"01/31/2024","438.670","439.765","442.575","435.120","","-0.26%"
"01/30/2024","439.805","439.280","441.515","435.565","","0.11%"
"01/29/2024","439.320","437.815","441.185","434.900","","0.55%"
"01/26/2024","436.910","438.285","442.680","435.760","","-0.09%"
"01/25/2024","437.320","441.660","443.135","436.905","","-0.98%"
"01/24/2024","441.660","439.715","444.435","438.275","","0.72%"
"01/23/2024","438.510","440.925","443.270","437.475","","-0.28%"
"01/22/2024","439.760","441.830","443.070","439.070","","-0.21%"
"01/19/2024","440.700","440.730","442.610","438.620","","0.25%"
"01/18/2024","439.580","441.255","443.115","437.850","","-0.12%"
"01/17/2024","440.130","441.060","442.265","437.965","","0.04%"
"01/16/2024","439.970","443.855","443.940","438.835","","-0.61%"
"01/15/2024","442.680","444.040","445.450","441.440","","-0.01%"
"01/12/2024","442.720","444.440","446.245","441.680","","-0.11%"
"01/11/2024","443.200","444.935","445.825","442.655","","-0.13%"
"01/10/2024","443.760","443.395","445.690","441.295","","0.35%"
"01/09/2024","442.200","444.650","445.325","440.990","","-0.03%"
"01/08/2024","442.340","443.555","445.890","440.985","","0.02%"
"01/05/2024","442.260","443.815","446.315","439.615","","-0.07%"
"01/04/2024","442.560","442.625","445.455","440.935","","0.24%"
"01/03/2024","441.510","443.205","445.040","440.105","","-0.05%"
"01/02/2024","441.750","447.075","447.135","442.445","","-0.94%"
"01/01/2024","445.950","446.765","447.195","446.725","","0.07%"
"12/29/2023","445.620","448.135","450.075","445.305","","-0.30%"
"12/28/2023","446.950","450.035","451.395","447.280","","-0.40%"
"12/27/2023","448.760","447.465","451.100","445.270","","0.55%"
"12/26/2023","446.320","445.355","448.315","444.520","","0.23%"
"12/25/2023","445.315","446.850","447.805","444.160","","-0.03%"
"12/22/2023","445.460","446.590","448.720","444.030","","0.01%"
"12/21/2023","445.410","443.705","446.730","440.575","","0.66%"
"12/20/2023","442.490","445.600","446.170","440.860","","-0.45%"
"12/19/2023","444.480","443.460","446.290","441.620","","0.50%"
"12/18/2023","442.290","441.900","443.645","441.105","","0.42%"
"12/15/2023","440.440","444.800","446.450","439.815","","-0.71%"
"12/14/2023","443.570","439.440","445.435","439.360","","1.20%"
"12/13/2023","438.310","435.540","440.390","434.685","","0.90%"
"12/12/2023","434.420","434.330","436.670","434.150","","0.27%"
"12/11/2023","433.250","433.965","434.670","432.495","","0.09%"
"12/08/2023","432.850","435.040","436.010","432.515","","0.02%"
"12/07/2023","432.760","434.100","436.430","433.005","","0.00%"
"12/06/2023","432.740","435.025","435.975","431.585","","-0.27%"
"12/05/2023","433.910","436.745","437.520","433.390","","-0.40%"
"12/04/2023","435.660","438.615","438.960","434.930","","-0.38%"
"12/01/2023","437.330","438.405","440.170","435.440","","0.03%"
"11/30/2023","437.200","441.585","442.150","437.585","","-0.72%"
"11/29/2023","440.370","442.200","443.945","440.835","","-0.15%"
"11/28/2023","441.020","440.690","443.965","439.885","","0.33%"
"11/27/2023","439.550","439.865","441.395","438.860","","0.16%"
"11/24/2023","438.850","438.830","441.280","438.410","","0.26%"
"11/23/2023","437.700","438.145","439.895","437.960","","0.16%"
"11/22/2023","437.020","439.220","439.725","436.675","","-0.24%"
"11/21/2023","438.050","439.985","441.690","438.580","","-0.17%"
"11/20/2023","438.810","439.150","441.490","438.440","","0.23%"
"11/17/2023","437.820","437.035","439.595","435.925","","0.45%"
"11/16/2023","435.870","437.045","439.235","435.725","","-0.01%"
"11/15/2023","435.920","438.630","439.010","433.980","","-0.37%"
"11/14/2023","437.540","431.160","439.010","430.880","","1.76%"
"11/13/2023","429.970","430.130","431.740","428.695","","0.24%"
"11/10/2023","428.940","429.560","431.130","428.460","","0.12%"
"11/09/2023","428.430","430.970","432.430","429.235","","-0.34%"
"11/08/2023","429.900","430.810","431.785","429.195","","0.04%"
"11/07/2023","429.740","431.190","431.755","428.580","","-0.09%"
"11/06/2023","430.120","431.545","433.485","430.670","","-0.08%"
"11/03/2023","430.470","427.440","432.595","427.095","","0.99%"
"11/02/2023","426.250","425.285","429.290","425.165","","0.49%"
"11/01/2023","424.190","426.130","426.680","422.985","","-0.23%"
"10/31/2023","425.160","427.040","430.095","424.180","","-0.16%"
"10/30/2023","425.860","425.335","427.795","424.545","","0.39%"
"10/27/2023","424.200","424.935","427.330","424.015","","0.06%"
"10/26/2023","423.960","425.335","426.080","420.625","","-0.01%"
"10/25/2023","424.000","426.130","427.605","422.280","","-0.22%"
"10/24/2023","424.950","429.120","430.140","425.275","","-0.71%"
"10/23/2023","428.010","425.310","429.500","424.365","","0.90%"
"10/20/2023","424.210","425.165","426.475","423.850","","0.02%"
"10/19/2023","424.110","423.160","426.630","422.775","","0.47%"
"10/18/2023","422.110","424.725","425.930","421.840","","-0.37%"
"10/17/2023","423.670","423.705","426.235","422.585","","0.27%"
"10/16/2023","422.550","422.600","424.750","422.285","","0.22%"
"10/13/2023","421.630","418.690","424.050","418.440","","0.97%"
"10/12/2023","417.580","419.800","421.240","417.295","","-0.23%"
"10/11/2023","418.540","421.570","423.010","418.320","","-0.45%"
"10/10/2023","420.430","427.015","435.930","420.855","","-1.28%"
"10/09/2023","425.880","433.210","433.700","425.680","","-1.66%"
"10/06/2023","433.090","441.540","442.310","429.910","","-1.66%"
"10/05/2023","440.400","450.985","452.715","440.635","","-2.06%"
"10/04/2023","449.680","441.260","451.975","432.615","","1.94%"
"10/03/2023","441.130","426.330","441.705","419.875","","3.47%"
"10/02/2023","426.350","415.745","427.655","409.690","","1.77%"
"09/29/2023","418.915","413.005","420.720","412.130","","1.76%"
"09/28/2023","411.670","408.120","414.670","404.290","","1.15%"
"09/27/2023","406.970","409.775","410.220","406.930","","-0.44%"
"09/26/2023","408.750","410.480","412.245","409.450","","-0.13%"
"09/25/2023","409.300","412.565","413.010","408.470","","-0.52%"
"09/22/2023","411.420","411.850","414.485","407.740","","0.17%"
"09/21/2023","410.710","411.850","413.665","410.170","","-0.01%"
"09/20/2023","410.740","412.475","416.190","410.590","","-0.11%"
"09/19/2023","411.210","412.315","413.815","410.610","","-0.04%"
"09/18/2023","411.360","411.965","414.605","409.665","","0.19%"
"09/15/2023","410.590","411.195","413.900","409.195","","0.48%"
"09/14/2023","408.610","414.390","416.150","409.610","","-1.13%"
"09/13/2023","413.270","414.935","415.655","412.610","","-0.13%"
"09/12/2023","413.820","415.095","416.155","411.720","","-0.02%"
"09/11/2023","413.910","412.665","416.195","412.120","","0.58%"
"09/08/2023","411.540","412.715","415.045","411.660","","0.01%"
"09/07/2023","411.490","413.900","415.305","411.215","","-0.31%"
"09/06/2023","412.770","413.670","415.790","411.975","","0.00%"
"09/05/2023","412.790","416.615","417.125","413.305","","-0.62%"
"09/04/2023","415.350","415.905","417.140","415.675","","0.17%"
"09/01/2023","414.650","418.185","419.915","415.655","","-0.60%"
"08/31/2023","417.140","421.720","422.280","417.970","","-0.81%"
"08/30/2023","420.550","420.110","422.515","419.145","","0.38%"
"08/29/2023","418.970","417.410","420.615","416.155","","0.61%"
"08/28/2023","416.440","416.895","417.710","416.555","","0.16%"
"08/25/2023","415.780","417.220","418.730","414.785","","-0.08%"
"08/24/2023","416.100","420.180","421.145","416.800","","-0.68%"
"08/23/2023","418.940","418.505","420.490","416.480","","0.40%"
"08/22/2023","417.270","421.015","422.460","417.710","","-0.22%"
"08/21/2023","418.210","420.035","422.675","419.510","","-0.07%"
"08/18/2023","418.520","419.825","421.970","418.590","","-0.04%"
"08/17/2023","418.700","420.575","422.645","418.850","","0.04%"
"08/16/2023","418.520","421.730","423.425","419.540","","-0.48%"
"08/15/2023","420.520","421.635","424.535","421.120","","0.01%"
"08/14/2023","420.470","422.785","424.720","419.910","","-0.21%"
"08/11/2023","421.340","423.925","426.900","422.380","","-0.33%"
"08/10/2023","422.750","423.715","429.410","423.385","","0.05%"
"08/09/2023","422.540","423.405","424.700","423.230","","0.07%"
"08/08/2023","422.230","424.800","427.265","422.430","","-0.36%"
"08/07/2023","423.750","425.615","427.175","423.975","","-0.11%"
"08/04/2023","424.200","423.460","428.205","422.860","","0.45%"
"08/03/2023","422.290","423.130","425.155","420.970","","0.07%"
"08/02/2023","421.980","424.145","425.780","421.905","","-0.24%"
"08/01/2023","423.000","424.560","426.730","422.840","","-0.12%"
"07/31/2023","423.500","425.730","427.605","424.355","","-0.19%"
"07/28/2023","424.320","424.145","428.515","423.200","","0.35%"
"07/27/2023","422.860","428.170","434.200","423.380","","-1.00%"
"07/26/2023","427.140","427.465","430.970","426.330","","0.18%"
"07/25/2023","426.360","428.315","429.485","426.210","","-0.17%"
"07/24/2023","427.090","430.040","430.990","427.510","","-0.37%"
"07/21/2023","428.690","430.060","434.005","429.035","","-0.01%"
"07/20/2023","428.750","433.755","437.830","429.370","","-0.88%"
"07/19/2023","432.560","433.690","438.715","432.150","","0.01%"
"07/18/2023","432.530","433.870","440.460","432.530","","-0.06%"
"07/17/2023","432.780","433.680","439.180","432.890","","0.12%"
"07/14/2023","432.250","438.055","438.985","431.995","","-0.80%"
"07/13/2023","435.720","429.950","438.135","429.830","","1.63%"
"07/12/2023","428.720","426.220","432.460","424.565","","0.87%"
"07/11/2023","425.020","425.820","427.955","424.685","","0.08%"
"07/10/2023","424.660","423.685","426.355","421.740","","0.58%"
"07/07/2023","422.230","420.565","424.640","419.320","","0.66%"
"07/06/2023","419.450","419.390","421.815","417.765","","0.34%"
"07/05/2023","418.030","420.975","422.140","418.630","","-0.43%"
"07/04/2023","419.830","422.270","423.040","420.465","","-0.30%"
"07/03/2023","421.100","421.210","423.765","419.260","","0.24%"
"06/30/2023","420.100","419.695","423.080","418.490","","0.36%"
"06/29/2023","418.610","421.820","423.785","419.190","","-0.48%"
"06/28/2023","420.650","423.875","424.935","421.180","","-0.48%"
"06/27/2023","422.700","421.725","425.595","421.420","","0.55%"
"06/26/2023","420.400","421.805","423.125","420.660","","0.00%"
"06/23/2023","420.420","423.095","423.890","419.085","","-0.36%"
"06/22/2023","421.960","424.255","427.265","422.150","","-0.26%"
"06/21/2023","423.060","422.610","425.480","421.220","","0.39%"
"06/20/2023","421.410","421.920","423.935","420.105","","0.16%"
"06/19/2023","420.750","422.680","423.615","421.000","","-0.22%"
"06/16/2023","421.670","423.045","424.155","421.845","","-0.05%"
"06/15/2023","421.900","418.690","424.060","417.645","","1.02%"
"06/14/2023","417.640","417.875","420.940","416.280","","0.21%"
"06/13/2023","416.760","415.575","418.965","415.030","","0.53%"
"06/12/2023","414.570","414.990","417.310","414.025","","0.46%"
"06/09/2023","412.680","417.265","417.840","413.065","","-0.83%"
"06/08/2023","416.150","413.785","417.540","411.860","","0.85%"
"06/07/2023","412.640","413.840","415.860","410.270","","-0.04%"
"06/06/2023","412.790","414.930","415.845","410.230","","-0.24%"
"06/05/2023","413.780","414.790","416.090","410.630","","0.07%"
"06/02/2023","413.490","416.505","416.865","413.155","","-0.44%"
"06/01/2023","415.310","413.295","416.920","411.150","","0.77%"
"05/31/2023","412.150","414.970","415.005","409.800","","-0.39%"
"05/30/2023","413.780","412.240","415.180","410.570","","0.92%"
"05/29/2023","410.000","414.560","415.065","412.140","","-0.83%"
"05/26/2023","413.430","414.300","415.415","412.425","","0.08%"
"05/25/2023","413.110","415.220","415.505","412.520","","-0.23%"
"05/24/2023","414.070","416.065","417.295","414.165","","-0.20%"
"05/23/2023","414.910","418.330","418.690","414.665","","-0.55%"
"05/22/2023","417.210","417.870","419.200","415.910","","0.21%"
"05/19/2023","416.330","416.870","418.580","414.800","","0.15%"
"05/18/2023","415.720","418.760","419.395","414.430","","-0.46%"
"05/17/2023","417.640","419.655","420.620","417.010","","-0.21%"
"05/16/2023","418.530","421.075","422.930","419.405","","-0.33%"
"05/15/2023","419.910","419.455","422.340","419.010","","0.54%"
"05/12/2023","417.650","423.480","424.665","419.595","","-0.87%"
"05/11/2023","421.320","424.305","426.905","423.035","","-0.44%"
"05/10/2023","423.170","423.575","428.110","423.325","","0.17%"
"05/09/2023","422.440","425.315","425.850","422.325","","-0.40%"
"05/08/2023","424.140","426.260","430.460","424.640","","-0.10%"
"05/05/2023","424.580","426.510","428.290","422.750","","-0.19%"
"05/04/2023","425.370","428.000","429.240","424.870","","-0.35%"
"05/03/2023","426.860","425.515","430.335","424.715","","0.57%"
"05/02/2023","424.440","424.260","425.880","423.075","","0.28%"
