"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","1.6467","1.6450","1.6510","1.6437","","0.12%"
"04/04/2024","1.6447","1.6503","1.6517","1.6409","","-0.35%"
"04/03/2024","1.6504","1.6533","1.6568","1.6486","","-0.08%"
"04/02/2024","1.6518","1.6555","1.6565","1.6482","","-0.21%"
"04/01/2024","1.6553","1.6550","1.6581","1.6507","","0.06%"
"03/29/2024","1.6543","1.6559","1.6581","1.6523","","-0.05%"
"03/28/2024","1.6552","1.6569","1.6630","1.6544","","-0.07%"
"03/27/2024","1.6564","1.6579","1.6626","1.6557","","-0.07%"
"03/26/2024","1.6575","1.6572","1.6596","1.6540","","0.05%"
"03/25/2024","1.6566","1.6569","1.6607","1.6531","","-0.10%"
"03/22/2024","1.6582","1.6530","1.6626","1.6513","","0.33%"
"03/21/2024","1.6527","1.6583","1.6607","1.6470","","-0.32%"
"03/20/2024","1.6580","1.6632","1.6660","1.6576","","-0.34%"
"03/19/2024","1.6636","1.6576","1.6686","1.6563","","0.40%"
"03/18/2024","1.6569","1.6594","1.6615","1.6565","","-0.13%"
"03/15/2024","1.6591","1.6537","1.6615","1.6527","","0.38%"
"03/14/2024","1.6529","1.6533","1.6571","1.6502","","-0.01%"
"03/13/2024","1.6531","1.6540","1.6559","1.6508","","0.00%"
"03/12/2024","1.6531","1.6521","1.6602","1.6475","","0.07%"
"03/11/2024","1.6520","1.6498","1.6569","1.6481","","0.13%"
"03/08/2024","1.6499","1.6537","1.6557","1.6438","","-0.20%"
"03/07/2024","1.6532","1.6602","1.6614","1.6434","","-0.40%"
"03/06/2024","1.6599","1.6698","1.6715","1.6573","","-0.53%"
"03/05/2024","1.6687","1.6671","1.6748","1.6662","","0.13%"
"03/04/2024","1.6665","1.6609","1.6686","1.6592","","0.33%"
"03/01/2024","1.6611","1.6624","1.6660","1.6575","","-0.04%"
"02/29/2024","1.6617","1.6680","1.6702","1.6598","","-0.40%"
"02/28/2024","1.6684","1.6571","1.6697","1.6554","","0.70%"
"02/27/2024","1.6568","1.6589","1.6631","1.6547","","-0.11%"
"02/26/2024","1.6586","1.6499","1.6612","1.6467","","0.62%"
"02/23/2024","1.6483","1.6508","1.6518","1.6457","","-0.17%"
"02/22/2024","1.6511","1.6515","1.6542","1.6463","","0.05%"
"02/21/2024","1.6502","1.6503","1.6538","1.6451","","0.04%"
"02/20/2024","1.6496","1.6483","1.6509","1.6447","","0.13%"
"02/19/2024","1.6474","1.6509","1.6518","1.6457","","-0.11%"
"02/16/2024","1.6492","1.6514","1.6544","1.6474","","-0.09%"
"02/15/2024","1.6507","1.6525","1.6564","1.6494","","-0.08%"
"02/14/2024","1.6521","1.6595","1.6612","1.6509","","-0.40%"
"02/13/2024","1.6587","1.6502","1.6616","1.6488","","0.58%"
"02/12/2024","1.6491","1.6544","1.6574","1.6473","","-0.20%"
"02/09/2024","1.6524","1.6596","1.6611","1.6513","","-0.45%"
"02/08/2024","1.6599","1.6520","1.6616","1.6502","","0.53%"
"02/07/2024","1.6512","1.6485","1.6537","1.6454","","0.17%"
"02/06/2024","1.6484","1.6573","1.6587","1.6475","","-0.49%"
"02/05/2024","1.6565","1.6552","1.6606","1.6520","","0.07%"
"02/02/2024","1.6553","1.6544","1.6583","1.6458","","0.10%"
"02/01/2024","1.6537","1.6470","1.6616","1.6434","","0.41%"
"01/31/2024","1.6470","1.6427","1.6503","1.6407","","0.29%"
"01/30/2024","1.6423","1.6386","1.6481","1.6346","","0.24%"
"01/29/2024","1.6384","1.6498","1.6510","1.6369","","-0.72%"
"01/26/2024","1.6502","1.6471","1.6518","1.6427","","0.19%"
"01/25/2024","1.6471","1.6551","1.6573","1.6423","","-0.45%"
