"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","100.324","99.965","100.363","99.664","","0.35%"
"04/04/2024","99.975","100.038","100.489","99.944","","-0.06%"
"04/03/2024","100.032","99.579","100.060","99.073","","0.46%"
"04/02/2024","99.578","99.887","99.887","99.130","","-0.31%"
"04/01/2024","99.887","100.400","100.400","99.887","","-0.51%"
"03/29/2024","100.400","99.887","100.400","99.887","","0.51%"
"03/28/2024","99.887","99.976","100.500","99.402","","-0.08%"
"03/27/2024","99.970","100.167","100.529","99.608","","-0.20%"
"03/26/2024","100.168","100.676","100.819","99.186","","-0.51%"
"03/25/2024","100.686","99.900","100.746","99.900","","1.13%"
"03/22/2024","99.564","99.800","101.218","99.448","","-0.23%"
"03/21/2024","99.794","100.893","101.119","99.686","","-1.09%"
"03/20/2024","100.893","100.453","100.893","100.201","","0.43%"
"03/19/2024","100.456","99.717","100.712","99.629","","0.73%"
"03/18/2024","99.731","100.500","100.664","99.669","","-1.00%"
"03/15/2024","100.737","99.629","100.966","99.626","","1.11%"
"03/14/2024","99.629","100.068","100.429","99.592","","-0.42%"
"03/13/2024","100.045","100.257","100.475","99.836","","-0.21%"
"03/12/2024","100.257","99.426","100.335","99.159","","0.84%"
"03/11/2024","99.426","99.600","99.600","98.731","","-0.17%"
"03/08/2024","99.591","99.270","99.788","99.021","","0.33%"
"03/07/2024","99.259","98.952","99.346","98.820","","0.35%"
"03/06/2024","98.910","98.783","99.048","98.064","","0.13%"
"03/05/2024","98.783","99.252","99.270","98.603","","-0.51%"
"03/04/2024","99.293","98.100","99.515","98.100","","-0.11%"
"03/01/2024","99.398","98.629","99.541","98.629","","0.79%"
"02/29/2024","98.618","99.225","99.238","98.407","","-0.61%"
"02/28/2024","99.225","99.770","99.806","98.968","","-0.55%"
"02/27/2024","99.778","100.204","100.250","99.326","","-0.42%"
"02/26/2024","100.204","100.000","101.591","99.676","","-1.16%"
"02/23/2024","101.381","100.699","103.325","100.155","","0.68%"
"02/22/2024","100.699","99.872","101.562","99.868","","0.82%"
"02/21/2024","99.877","99.813","100.183","98.821","","0.04%"
"02/20/2024","99.838","99.514","100.167","99.386","","0.33%"
"02/19/2024","99.514","99.750","99.823","99.341","","0.36%"
"02/16/2024","99.152","99.624","100.701","98.986","","-0.41%"
"02/15/2024","99.558","98.356","99.714","98.202","","1.22%"
"02/14/2024","98.356","97.978","98.411","97.827","","0.38%"
"02/13/2024","97.981","98.275","98.608","97.780","","-0.29%"
"02/12/2024","98.266","98.500","98.500","97.992","","0.12%"
"02/09/2024","98.150","98.266","98.596","97.722","","-0.10%"
"02/08/2024","98.247","98.676","98.677","98.057","","-0.43%"
"02/07/2024","98.676","97.515","98.699","97.515","","1.19%"
"02/06/2024","97.515","97.269","98.095","97.226","","0.26%"
"02/05/2024","97.262","99.250","99.250","97.104","","-0.92%"
"02/02/2024","98.168","98.385","99.143","97.528","","-0.22%"
"02/01/2024","98.385","97.183","98.402","96.896","","1.24%"
"01/31/2024","97.178","97.179","97.757","96.804","","0.00%"
"01/30/2024","97.179","96.727","97.546","96.202","","0.48%"
"01/29/2024","96.719","98.150","98.150","96.058","","-0.71%"
"01/26/2024","97.410","96.552","97.743","96.422","","0.88%"
"01/25/2024","96.558","96.571","97.328","96.323","","-0.02%"
"01/24/2024","96.576","96.223","96.784","96.001","","0.37%"
"01/23/2024","96.221","95.725","96.477","95.714","","0.52%"
"01/22/2024","95.725","96.750","96.750","95.558","","-0.38%"
"01/19/2024","96.091","97.294","97.353","95.703","","-1.23%"
