"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","4.1880","4.2120","4.2575","4.1795","","-0.31%"
"04/04/2024","4.2010","4.2220","4.2915","4.1235","","-0.24%"
"04/03/2024","4.2110","4.2280","4.2635","4.1835","","-0.14%"
"04/02/2024","4.2170","4.2470","4.2640","4.1970","","-0.45%"
"04/01/2024","4.2360","4.2480","4.2885","4.2415","","-0.02%"
"03/29/2024","4.2370","4.2610","4.2835","4.2480","","-0.05%"
"03/28/2024","4.2390","4.2690","4.3105","4.2265","","-0.45%"
"03/27/2024","4.2580","4.2830","4.3270","4.2510","","-0.33%"
"03/26/2024","4.2720","4.2820","4.3465","4.2390","","0.02%"
"03/25/2024","4.2710","4.3180","4.3475","4.2370","","-0.84%"
"03/22/2024","4.3070","4.3370","4.3640","4.2400","","-0.44%"
"03/21/2024","4.3260","4.3335","4.3725","4.3205","","0.09%"
"03/20/2024","4.3220","4.3395","4.3670","4.3165","","0.09%"
"03/19/2024","4.3180","4.3885","4.4055","4.3015","","-1.61%"
"03/18/2024","4.3885","4.3520","4.4130","4.3070","","0.89%"
"03/15/2024","4.3500","4.4005","4.4180","4.3195","","-1.15%"
"03/14/2024","4.4005","4.4090","4.4340","4.3720","","-0.19%"
"03/13/2024","4.4090","4.3900","4.4495","4.3555","","0.39%"
"03/12/2024","4.3920","4.4285","4.4590","4.3680","","-0.82%"
"03/11/2024","4.4285","4.4310","4.5465","4.3630","","0.19%"
"03/08/2024","4.4200","4.4510","4.4735","4.4030","","-0.07%"
"03/07/2024","4.4230","4.4490","4.4740","4.4170","","-0.02%"
"03/06/2024","4.4240","4.4395","4.5025","4.4055","","0.18%"
"03/05/2024","4.4160","4.4145","4.4700","4.4025","","0.03%"
"03/04/2024","4.4145","4.4085","4.4440","4.3915","","0.58%"
"03/01/2024","4.3890","4.4505","4.4695","4.3620","","-1.15%"
"02/29/2024","4.4400","4.4350","4.5115","4.3880","","0.11%"
"02/28/2024","4.4350","4.4145","4.4655","4.3710","","0.46%"
"02/27/2024","4.4145","4.3800","4.4425","4.3475","","0.79%"
"02/26/2024","4.3800","4.3360","4.4355","4.2880","","1.01%"
"02/23/2024","4.3360","4.3655","4.4305","4.2160","","-0.68%"
"02/22/2024","4.3655","4.4160","4.4465","4.2805","","-1.14%"
"02/21/2024","4.4160","4.3955","4.4610","4.3400","","0.47%"
"02/20/2024","4.3955","4.3965","4.4610","4.3520","","-0.02%"
"02/19/2024","4.3965","4.4105","4.4580","4.3500","","-0.32%"
"02/16/2024","4.4105","4.3995","4.4345","4.3205","","0.25%"
"02/15/2024","4.3995","4.4270","4.5340","4.3520","","-0.62%"
"02/14/2024","4.4270","4.4180","4.4730","4.3790","","0.45%"
"02/13/2024","4.4070","4.4505","4.5785","4.3960","","-0.98%"
"02/12/2024","4.4505","4.4615","4.4845","4.4145","","-0.25%"
"02/09/2024","4.4615","4.4555","4.5700","4.3770","","0.13%"
"02/08/2024","4.4555","4.4320","4.4805","4.3880","","0.53%"
"02/07/2024","4.4320","4.4850","4.4995","4.3900","","-1.18%"
"02/06/2024","4.4850","4.4865","4.5550","4.4115","","-0.03%"
"02/05/2024","4.4865","4.4395","4.5080","4.4140","","0.56%"
"02/02/2024","4.4615","4.4905","4.5180","4.4190","","-0.65%"
"02/01/2024","4.4905","4.5080","4.5310","4.4360","","-0.39%"
"01/31/2024","4.5080","4.5245","4.5650","4.4685","","-0.41%"
"01/30/2024","4.5265","4.5425","4.5960","4.4750","","-0.35%"
"01/29/2024","4.5425","4.4970","4.6350","4.4520","","1.26%"
"01/26/2024","4.4860","4.5405","4.5815","4.4715","","-0.95%"
"01/25/2024","4.5290","4.5720","4.5965","4.5075","","-0.94%"
