"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","0.01643","0.01646","0.01652","0.01640","","-0.19%"
"04/04/2024","0.01646","0.01649","0.01650","0.01637","","-0.23%"
"04/03/2024","0.01650","0.01659","0.01670","0.01649","","-0.52%"
"04/02/2024","0.01658","0.01673","0.01673","0.01656","","-0.86%"
"04/01/2024","0.01673","0.01655","0.01675","0.01654","","1.06%"
"03/31/2024","0.01655","0.01660","0.01660","0.01654","","-0.20%"
"03/29/2024","0.01658","0.01659","0.01667","0.01656","","-0.04%"
"03/28/2024","0.01659","0.01661","0.01671","0.01656","","-0.12%"
"03/27/2024","0.01661","0.01650","0.01670","0.01650","","0.65%"
"03/26/2024","0.01650","0.01652","0.01654","0.01645","","-0.13%"
"03/25/2024","0.01652","0.01654","0.01657","0.01646","","-0.08%"
"03/24/2024","0.01654","0.01654","0.01655","0.01653","","-0.05%"
"03/22/2024","0.01654","0.01653","0.01665","0.01650","","0.07%"
"03/21/2024","0.01653","0.01643","0.01658","0.01631","","0.61%"
"03/20/2024","0.01643","0.01654","0.01664","0.01643","","-0.63%"
"03/19/2024","0.01654","0.01659","0.01673","0.01652","","-0.33%"
"03/18/2024","0.01659","0.01641","0.01668","0.01630","","1.08%"
"03/17/2024","0.01641","0.01640","0.01642","0.01640","","0.08%"
"03/15/2024","0.01640","0.01657","0.01663","0.01638","","-1.04%"
"03/14/2024","0.01657","0.01649","0.01660","0.01645","","0.51%"
"03/13/2024","0.01649","0.01649","0.01657","0.01644","","0.00%"
"03/12/2024","0.01649","0.01668","0.01670","0.01648","","-1.17%"
"03/11/2024","0.01668","0.01666","0.01673","0.01665","","0.11%"
"03/10/2024","0.01666","0.01666","0.01668","0.01665","","0.00%"
"03/08/2024","0.01666","0.01667","0.01669","0.01656","","-0.05%"
"03/07/2024","0.01667","0.01681","0.01682","0.01664","","-0.84%"
"03/06/2024","0.01681","0.01698","0.01703","0.01677","","-1.00%"
"03/05/2024","0.01698","0.01684","0.01699","0.01682","","0.83%"
"03/04/2024","0.01684","0.01671","0.01685","0.01666","","0.81%"
"03/03/2024","0.01671","0.01671","0.01672","0.01671","","-0.04%"
"03/01/2024","0.01672","0.01688","0.01689","0.01668","","-1.00%"
"02/29/2024","0.01688","0.01689","0.01698","0.01679","","-0.06%"
"02/28/2024","0.01690","0.01660","0.01690","0.01659","","1.80%"
"02/27/2024","0.01660","0.01656","0.01662","0.01653","","0.24%"
"02/26/2024","0.01656","0.01640","0.01665","0.01637","","0.92%"
"02/25/2024","0.01640","0.01641","0.01641","0.01640","","-0.06%"
"02/23/2024","0.01641","0.01642","0.01644","0.01637","","0.00%"
"02/22/2024","0.01642","0.01649","0.01654","0.01629","","-0.43%"
"02/21/2024","0.01649","0.01652","0.01654","0.01648","","-0.23%"
"02/20/2024","0.01653","0.01658","0.01661","0.01647","","-0.35%"
"02/19/2024","0.01658","0.01659","0.01663","0.01650","","-0.06%"
"02/18/2024","0.01659","0.01660","0.01661","0.01659","","0.00%"
"02/16/2024","0.01660","0.01661","0.01666","0.01648","","-0.11%"
"02/15/2024","0.01661","0.01683","0.01689","0.01656","","-1.37%"
"02/14/2024","0.01684","0.01697","0.01699","0.01684","","-0.79%"
"02/13/2024","0.01698","0.01677","0.01700","0.01677","","1.22%"
"02/12/2024","0.01677","0.01686","0.01689","0.01674","","-0.51%"
"02/11/2024","0.01686","0.01686","0.01688","0.01686","","0.00%"
"02/09/2024","0.01686","0.01695","0.01701","0.01681","","-0.52%"
"02/08/2024","0.01695","0.01681","0.01700","0.01676","","0.86%"
"02/07/2024","0.01681","0.01679","0.01688","0.01676","","0.07%"
"02/06/2024","0.01679","0.01704","0.01704","0.01679","","-1.42%"
"02/05/2024","0.01704","0.01688","0.01710","0.01680","","0.90%"
"02/04/2024","0.01688","0.01687","0.01692","0.01685","","0.15%"
"02/02/2024","0.01686","0.01681","0.01694","0.01661","","0.27%"
"02/01/2024","0.01681","0.01693","0.01705","0.01681","","-0.70%"
"01/31/2024","0.01693","0.01690","0.01699","0.01679","","0.16%"
"01/30/2024","0.01691","0.01699","0.01705","0.01687","","-0.51%"
"01/29/2024","0.01699","0.01694","0.01709","0.01681","","0.28%"
"01/28/2024","0.01694","0.01695","0.01696","0.01693","","0.00%"
"01/26/2024","0.01694","0.01709","0.01711","0.01686","","-0.84%"
"01/25/2024","0.01709","0.01716","0.01721","0.01697","","-0.43%"
"01/24/2024","0.01716","0.01712","0.01726","0.01708","","0.23%"
"01/23/2024","0.01712","0.01733","0.01734","0.01712","","-1.22%"
"01/22/2024","0.01733","0.01719","0.01735","0.01714","","0.81%"
"01/21/2024","0.01719","0.01718","0.01720","0.01718","","0.05%"
"01/19/2024","0.01719","0.01707","0.01724","0.01699","","0.65%"
"01/18/2024","0.01707","0.01716","0.01723","0.01701","","-0.53%"
"01/17/2024","0.01716","0.01727","0.01737","0.01715","","-0.64%"
"01/16/2024","0.01727","0.01717","0.01731","0.01703","","0.63%"
"01/15/2024","0.01717","0.01691","0.01718","0.01691","","1.53%"
"01/14/2024","0.01691","0.01692","0.01692","0.01690","","-0.05%"
"01/12/2024","0.01692","0.01685","0.01698","0.01681","","0.36%"
"01/11/2024","0.01685","0.01670","0.01698","0.01664","","0.91%"
"01/10/2024","0.01670","0.01664","0.01674","0.01657","","0.35%"
"01/09/2024","0.01664","0.01633","0.01677","0.01622","","1.91%"
"01/08/2024","0.01633","0.01637","0.01653","0.01631","","-0.26%"
"01/07/2024","0.01637","0.01643","0.01643","0.01636","","-0.24%"
"01/05/2024","0.01641","0.01633","0.01651","0.01629","","0.50%"
"01/04/2024","0.01633","0.01614","0.01635","0.01605","","1.17%"
"01/03/2024","0.01614","0.01636","0.01639","0.01613","","-1.34%"
"01/02/2024","0.01636","0.01625","0.01638","0.01618","","0.67%"
"01/01/2024","0.01625","0.01625","0.01627","0.01621","","0.00%"
"12/31/2023","0.01625","0.01625","0.01625","0.01625","","0.00%"
"12/29/2023","0.01625","0.01639","0.01648","0.01614","","-0.91%"
"12/28/2023","0.01639","0.01599","0.01640","0.01595","","2.50%"
"12/27/2023","0.01599","0.01599","0.01603","0.01590","","0.04%"
"12/26/2023","0.01599","0.01602","0.01608","0.01597","","-0.18%"
"12/25/2023","0.01602","0.01599","0.01606","0.01589","","0.15%"
"12/24/2023","0.01599","0.01597","0.01602","0.01597","","0.16%"
"12/22/2023","0.01597","0.01597","0.01607","0.01592","","0.00%"
"12/21/2023","0.01597","0.01631","0.01639","0.01595","","-2.13%"
"12/20/2023","0.01631","0.01637","0.01640","0.01622","","-0.37%"
"12/19/2023","0.01637","0.01656","0.01661","0.01633","","-1.15%"
"12/18/2023","0.01656","0.01654","0.01659","0.01639","","0.11%"
"12/17/2023","0.01654","0.01654","0.01655","0.01652","","0.11%"
"12/15/2023","0.01653","0.01660","0.01667","0.01647","","-0.47%"
