"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","0.00998","0.01000","0.01003","0.00996","","-0.29%"
"04/04/2024","0.01000","0.01000","0.01001","0.00996","","0.10%"
"04/03/2024","0.00999","0.01003","0.01009","0.00999","","-0.40%"
"04/02/2024","0.01003","0.01011","0.01012","0.01002","","-0.70%"
"04/01/2024","0.01011","0.01002","0.01011","0.01001","","0.99%"
"03/29/2024","0.01001","0.01001","0.01007","0.00999","","0.24%"
"03/28/2024","0.00998","0.00999","0.01010","0.00994","","0.00%"
"03/27/2024","0.00999","0.00998","0.01007","0.00993","","0.07%"
"03/26/2024","0.00998","0.00993","0.01008","0.00990","","0.50%"
"03/25/2024","0.00993","0.01004","0.01005","0.00988","","-1.11%"
"03/22/2024","0.01004","0.01002","0.01010","0.00984","","0.21%"
"03/21/2024","0.01002","0.00993","0.01005","0.00988","","0.97%"
"03/20/2024","0.00993","0.00995","0.01001","0.00992","","0.00%"
"03/19/2024","0.00993","0.01003","0.01009","0.00990","","-0.69%"
"03/18/2024","0.01000","0.00992","0.01005","0.00983","","0.73%"
"03/15/2024","0.00992","0.01004","0.01006","0.00987","","-1.14%"
"03/14/2024","0.01004","0.01000","0.01005","0.00993","","0.39%"
"03/13/2024","0.01000","0.00998","0.01010","0.00990","","0.21%"
"03/12/2024","0.00998","0.01006","0.01010","0.00995","","-0.79%"
"03/11/2024","0.01006","0.01005","0.01029","0.00987","","0.66%"
"03/08/2024","0.00999","0.01008","0.01013","0.00998","","-0.83%"
"03/07/2024","0.01007","0.01011","0.01016","0.01004","","-0.33%"
"03/06/2024","0.01011","0.01012","0.01026","0.01003","","-0.15%"
"03/05/2024","0.01012","0.01007","0.01021","0.01006","","0.79%"
"03/04/2024","0.01004","0.01006","0.01014","0.01003","","-0.16%"
"03/01/2024","0.01006","0.01012","0.01022","0.00998","","-0.52%"
"02/29/2024","0.01011","0.01008","0.01024","0.01003","","0.36%"
"02/28/2024","0.01008","0.01002","0.01015","0.01000","","0.59%"
"02/27/2024","0.01002","0.00995","0.01008","0.00992","","0.67%"
"02/26/2024","0.00995","0.00987","0.01007","0.00980","","0.82%"
"02/23/2024","0.00987","0.00993","0.01007","0.00960","","-0.57%"
"02/22/2024","0.00993","0.01005","0.01010","0.00972","","-1.17%"
"02/21/2024","0.01004","0.01002","0.01016","0.00991","","0.53%"
"02/20/2024","0.00999","0.01005","0.01021","0.00997","","-0.52%"
"02/19/2024","0.01004","0.01009","0.01020","0.00998","","-0.41%"
"02/16/2024","0.01008","0.01006","0.01013","0.00990","","0.27%"
"02/15/2024","0.01006","0.01017","0.01042","0.01001","","-1.11%"
"02/14/2024","0.01017","0.01020","0.01027","0.01012","","-0.32%"
"02/13/2024","0.01020","0.01018","0.01048","0.01013","","0.29%"
"02/12/2024","0.01017","0.01019","0.01022","0.01015","","-0.14%"
"02/09/2024","0.01019","0.01018","0.01044","0.01005","","0.14%"
"02/08/2024","0.01017","0.01013","0.01024","0.01008","","0.42%"
"02/07/2024","0.01013","0.01027","0.01028","0.01009","","-1.35%"
"02/06/2024","0.01027","0.01028","0.01042","0.01015","","-0.07%"
"02/05/2024","0.01028","0.01019","0.01033","0.01014","","0.89%"
"02/02/2024","0.01019","0.01017","0.01027","0.01007","","0.16%"
"02/01/2024","0.01017","0.01028","0.01034","0.01014","","-1.01%"
"01/31/2024","0.01027","0.01029","0.01040","0.01020","","-0.17%"
"01/30/2024","0.01029","0.01034","0.01046","0.01023","","-0.45%"
"01/29/2024","0.01034","0.01027","0.01054","0.01019","","0.73%"
"01/26/2024","0.01026","0.01036","0.01041","0.01020","","-0.89%"
"01/25/2024","0.01036","0.01035","0.01042","0.01026","","0.06%"
"01/24/2024","0.01035","0.01037","0.01046","0.01031","","-0.19%"
"01/23/2024","0.01037","0.01044","0.01049","0.01035","","-0.67%"
"01/22/2024","0.01044","0.01041","0.01051","0.01035","","0.33%"
"01/19/2024","0.01041","0.01028","0.01054","0.01025","","1.23%"
"01/18/2024","0.01028","0.01037","0.01042","0.01018","","-0.84%"
"01/17/2024","0.01037","0.01044","0.01055","0.01030","","-0.65%"
"01/16/2024","0.01043","0.01041","0.01057","0.01034","","0.25%"
"01/15/2024","0.01041","0.01034","0.01049","0.01029","","1.07%"
"01/12/2024","0.01030","0.01030","0.01039","0.01023","","0.00%"
"01/11/2024","0.01030","0.01020","0.01038","0.01017","","1.01%"
"01/10/2024","0.01019","0.01020","0.01028","0.01014","","-0.10%"
"01/09/2024","0.01020","0.01004","0.01026","0.00995","","1.59%"
"01/08/2024","0.01004","0.01005","0.01019","0.00997","","-0.07%"
"01/05/2024","0.01005","0.01000","0.01012","0.00992","","0.51%"
"01/04/2024","0.01000","0.00995","0.01005","0.00986","","0.47%"
"01/03/2024","0.00995","0.01010","0.01015","0.00985","","-1.50%"
"01/02/2024","0.01010","0.01015","0.01017","0.00995","","-0.38%"
"01/01/2024","0.01014","0.01015","0.01015","0.01014","","-0.07%"
"12/29/2023","0.01015","0.01022","0.01022","0.00990","","-0.62%"
"12/28/2023","0.01021","0.00983","0.01024","0.00977","","3.94%"
"12/27/2023","0.00983","0.00988","0.00996","0.00973","","-0.53%"
"12/26/2023","0.00988","0.00987","0.00993","0.00986","","0.07%"
"12/25/2023","0.00987","0.00985","0.01015","0.00982","","0.16%"
"12/22/2023","0.00986","0.00978","0.01004","0.00973","","0.80%"
"12/21/2023","0.00978","0.01009","0.01015","0.00977","","-3.08%"
"12/20/2023","0.01009","0.01007","0.01020","0.00996","","0.26%"
"12/19/2023","0.01006","0.01011","0.01021","0.01002","","-0.47%"
"12/18/2023","0.01011","0.01012","0.01021","0.01000","","-0.13%"
"12/15/2023","0.01012","0.01016","0.01049","0.00992","","-0.35%"
"12/14/2023","0.01016","0.01029","0.01038","0.01007","","-1.26%"
"12/13/2023","0.01029","0.01027","0.01046","0.01021","","0.26%"
"12/12/2023","0.01026","0.01021","0.01035","0.01016","","1.03%"
"12/11/2023","0.01016","0.01008","0.01036","0.01007","","0.76%"
"12/08/2023","0.01008","0.01002","0.01025","0.01001","","0.59%"
"12/07/2023","0.01002","0.01000","0.01011","0.00993","","0.50%"
"12/06/2023","0.00997","0.01027","0.01042","0.00991","","-2.85%"
"12/05/2023","0.01026","0.01009","0.01032","0.00995","","1.79%"
"12/04/2023","0.01008","0.01007","0.01022","0.01005","","0.13%"
"12/01/2023","0.01007","0.01021","0.01035","0.01006","","-1.32%"
"11/30/2023","0.01021","0.01028","0.01041","0.01012","","-0.67%"
"11/29/2023","0.01027","0.01024","0.01035","0.01013","","0.40%"
"11/28/2023","0.01023","0.01025","0.01037","0.01013","","-0.13%"
"11/27/2023","0.01025","0.01024","0.01039","0.01021","","0.14%"
"11/24/2023","0.01023","0.01035","0.01042","0.01014","","-1.14%"
"11/23/2023","0.01035","0.01039","0.01051","0.01021","","-0.34%"
"11/22/2023","0.01039","0.01039","0.01048","0.01034","","0.00%"
"11/21/2023","0.01038","0.01032","0.01052","0.01026","","0.61%"
"11/20/2023","0.01032","0.01021","0.01056","0.01015","","1.04%"
"11/17/2023","0.01021","0.01031","0.01046","0.01013","","-0.94%"
"11/16/2023","0.01031","0.01031","0.01046","0.01024","","0.08%"
"11/15/2023","0.01030","0.01015","0.01045","0.01004","","1.48%"
"11/14/2023","0.01015","0.01017","0.01031","0.01013","","-0.14%"
"11/13/2023","0.01017","0.01014","0.01026","0.01010","","0.25%"
"11/10/2023","0.01014","0.01023","0.01028","0.01012","","-0.79%"
"11/09/2023","0.01022","0.01017","0.01024","0.01007","","0.55%"
"11/08/2023","0.01017","0.01015","0.01025","0.01010","","0.21%"
"11/07/2023","0.01015","0.01007","0.01025","0.01002","","0.75%"
"11/06/2023","0.01007","0.01004","0.01015","0.01000","","0.36%"
"11/03/2023","0.01003","0.01009","0.01023","0.00999","","-0.56%"
"11/02/2023","0.01009","0.01022","0.01026","0.01000","","-1.20%"
"11/01/2023","0.01021","0.01010","0.01033","0.01008","","1.15%"
"10/31/2023","0.01010","0.01018","0.01030","0.01002","","-0.78%"
"10/30/2023","0.01018","0.01005","0.01022","0.01001","","1.30%"
"10/27/2023","0.01005","0.01011","0.01035","0.00988","","-0.60%"
"10/26/2023","0.01011","0.01006","0.01024","0.01004","","0.40%"
"10/25/2023","0.01007","0.01010","0.01020","0.01002","","-0.33%"
"10/24/2023","0.01010","0.00992","0.01018","0.00988","","1.87%"
"10/23/2023","0.00991","0.00989","0.01009","0.00984","","0.27%"
"10/20/2023","0.00989","0.00982","0.00994","0.00972","","0.32%"
"10/19/2023","0.00986","0.00967","0.00989","0.00962","","1.91%"
"10/18/2023","0.00967","0.00965","0.00980","0.00961","","0.29%"
"10/17/2023","0.00964","0.00972","0.00979","0.00963","","-0.77%"
"10/16/2023","0.00972","0.00974","0.00982","0.00966","","-0.18%"
"10/13/2023","0.00974","0.00972","0.00989","0.00965","","0.20%"
"10/12/2023","0.00972","0.00937","0.00988","0.00936","","3.69%"
"10/11/2023","0.00937","0.00940","0.00964","0.00932","","-0.30%"
"10/10/2023","0.00940","0.00951","0.00967","0.00934","","-1.19%"
"10/09/2023","0.00951","0.00937","0.00967","0.00917","","1.73%"
"10/06/2023","0.00935","0.00947","0.00978","0.00920","","-1.24%"
"10/05/2023","0.00947","0.00954","0.00967","0.00943","","-0.75%"
"10/04/2023","0.00954","0.00954","0.00973","0.00942","","-0.06%"
"10/03/2023","0.00955","0.00966","0.00977","0.00949","","-1.20%"
"10/02/2023","0.00966","0.00966","0.00979","0.00951","","0.08%"
"09/29/2023","0.00965","0.00983","0.00992","0.00957","","-1.85%"
"09/28/2023","0.00984","0.00981","0.00992","0.00968","","0.25%"
"09/27/2023","0.00981","0.00979","0.01005","0.00969","","0.16%"
"09/26/2023","0.00979","0.00995","0.00997","0.00961","","-1.51%"
"09/25/2023","0.00994","0.00975","0.00996","0.00968","","2.01%"
"09/22/2023","0.00975","0.00986","0.00992","0.00969","","-1.09%"
"09/21/2023","0.00986","0.00977","0.00995","0.00965","","0.91%"
"09/20/2023","0.00977","0.00975","0.00983","0.00958","","0.11%"
"09/19/2023","0.00976","0.00975","0.00988","0.00951","","0.11%"
"09/18/2023","0.00974","0.00969","0.00988","0.00954","","0.52%"
"09/15/2023","0.00970","0.00977","0.00991","0.00958","","-0.70%"
"09/14/2023","0.00976","0.00969","0.00986","0.00956","","0.78%"
"09/13/2023","0.00969","0.00969","0.01004","0.00947","","0.00%"
"09/12/2023","0.00968","0.00979","0.01009","0.00954","","-1.07%"
"09/11/2023","0.00979","0.00955","0.00984","0.00950","","2.37%"
"09/08/2023","0.00956","0.00949","0.00966","0.00941","","0.77%"
"09/07/2023","0.00949","0.00948","0.00969","0.00942","","0.14%"
"09/06/2023","0.00947","0.00963","0.00965","0.00942","","-1.42%"
"09/05/2023","0.00961","0.00956","0.00970","0.00945","","0.51%"
"09/04/2023","0.00956","0.00962","0.00970","0.00949","","-0.65%"
"09/01/2023","0.00962","0.00962","0.00973","0.00948","","0.00%"
"08/31/2023","0.00962","0.00952","0.00971","0.00943","","1.09%"
