"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","0.01081","0.01084","0.01084","0.01080","","-0.34%"
"04/04/2024","0.01084","0.01083","0.01086","0.01081","","0.12%"
"04/03/2024","0.01083","0.01080","0.01087","0.01078","","0.27%"
"04/02/2024","0.01080","0.01085","0.01085","0.01078","","-0.44%"
"04/01/2024","0.01085","0.01081","0.01085","0.01081","","0.44%"
"03/29/2024","0.01080","0.01079","0.01085","0.01079","","0.27%"
"03/28/2024","0.01077","0.01084","0.01092","0.01075","","-0.40%"
"03/27/2024","0.01082","0.01078","0.01089","0.01075","","0.00%"
"03/26/2024","0.01081","0.01078","0.01092","0.01073","","0.46%"
"03/25/2024","0.01076","0.01076","0.01085","0.01070","","-0.83%"
"03/22/2024","0.01085","0.01078","0.01093","0.01064","","-0.28%"
"03/21/2024","0.01088","0.01084","0.01094","0.01081","","0.41%"
"03/20/2024","0.01084","0.01081","0.01087","0.01076","","0.49%"
"03/19/2024","0.01079","0.01090","0.01095","0.01074","","-0.76%"
"03/18/2024","0.01087","0.01073","0.01095","0.01070","","0.58%"
"03/15/2024","0.01081","0.01091","0.01094","0.01075","","-1.08%"
"03/14/2024","0.01092","0.01091","0.01097","0.01086","","-0.19%"
"03/13/2024","0.01095","0.01090","0.01104","0.01082","","0.39%"
"03/12/2024","0.01090","0.01101","0.01105","0.01086","","-0.77%"
"03/11/2024","0.01099","0.01101","0.01126","0.01081","","0.53%"
"03/08/2024","0.01093","0.01103","0.01107","0.01093","","-0.92%"
"03/07/2024","0.01103","0.01102","0.01107","0.01095","","0.12%"
"03/06/2024","0.01102","0.01103","0.01114","0.01093","","0.25%"
