"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","387.47","388.59","392.50","388.23","","-0.03%"
"04/04/2024","387.59","389.72","392.50","387.30","","-0.29%"
"04/03/2024","388.72","390.99","392.50","387.86","","-0.33%"
"04/02/2024","390.00","391.97","393.64","390.99","","-0.25%"
"04/01/2024","390.97","393.28","394.64","391.48","","-0.33%"
"03/29/2024","392.28","394.46","395.23","393.14","","-0.30%"
"03/28/2024","393.46","394.71","395.86","393.23","","-0.06%"
"03/27/2024","393.71","396.05","398.02","394.36","","-0.34%"
"03/26/2024","395.05","397.76","398.88","394.52","","-0.43%"
"03/25/2024","396.76","397.76","402.50","395.88","","0.00%"
"03/22/2024","396.76","398.48","402.50","397.38","","-0.18%"
"03/21/2024","397.48","399.77","399.77","398.48","","-0.32%"
"03/20/2024","398.77","401.27","403.14","399.77","","-0.37%"
"03/19/2024","400.27","402.50","403.48","400.39","","-0.55%"
"03/18/2024","402.50","402.63","404.32","400.98","","0.00%"
"03/15/2024","402.50","402.75","404.33","401.32","","-0.06%"
"03/14/2024","402.75","402.75","404.45","401.58","","0.00%"
"03/13/2024","402.75","402.75","404.69","401.45","","0.00%"
"03/12/2024","402.75","403.00","404.79","401.94","","0.69%"
"03/11/2024","400.00","403.00","404.85","402.29","","0.00%"
"03/08/2024","400.00","403.50","404.86","402.35","","-0.25%"
"03/07/2024","401.00","403.74","404.97","402.36","","-0.12%"
"03/06/2024","401.49","403.87","405.02","402.97","","-0.06%"
"03/05/2024","401.74","403.74","405.07","403.02","","0.06%"
"03/04/2024","401.49","404.24","405.07","402.27","","-0.25%"
"03/01/2024","402.49","406.24","406.58","402.99","","-0.92%"
"02/29/2024","406.24","406.00","406.66","402.83","","0.06%"
"02/28/2024","406.00","406.24","406.71","402.91","","-0.06%"
"02/27/2024","406.24","405.62","406.71","402.95","","0.15%"
"02/26/2024","405.62","405.99","406.71","403.17","","-0.09%"
"02/23/2024","405.99","406.24","406.68","402.92","","-0.06%"
"02/22/2024","406.24","406.24","406.68","402.92","","0.00%"
"02/21/2024","406.24","405.99","406.73","403.17","","0.06%"
"02/20/2024","405.99","405.99","406.73","402.96","","0.00%"
"02/19/2024","405.99","405.74","406.71","403.45","","0.06%"
"02/16/2024","405.74","406.00","407.00","402.88","","-0.06%"
"02/15/2024","406.00","405.74","406.63","403.03","","0.06%"
"02/14/2024","405.74","404.23","407.00","403.03","","0.62%"
"02/13/2024","403.23","405.99","407.00","403.23","","-0.68%"
"02/12/2024","405.99","405.99","407.00","403.02","","0.00%"
"02/09/2024","405.99","406.24","407.00","402.98","","-0.06%"
"02/08/2024","406.24","405.99","407.00","402.88","","0.06%"
"02/07/2024","405.99","405.99","407.00","402.87","","0.00%"
"02/06/2024","405.99","406.24","407.00","402.77","","-0.06%"
"02/05/2024","406.24","404.00","406.63","402.27","","0.06%"
"02/02/2024","405.99","405.99","407.00","402.43","","0.00%"
"02/01/2024","405.99","405.50","407.00","402.35","","0.12%"
"01/31/2024","405.50","403.96","407.00","402.85","","0.00%"
"01/30/2024","405.50","405.50","407.00","402.40","","0.00%"
"01/29/2024","405.50","403.61","407.00","402.30","","0.72%"
"01/26/2024","402.61","404.21","407.00","402.30","","-0.15%"
"01/25/2024","403.21","405.75","407.00","403.11","","-0.63%"
"01/24/2024","405.75","405.12","407.06","403.63","","0.40%"
"01/23/2024","404.12","405.15","406.08","403.56","","-0.01%"
"01/22/2024","404.15","405.42","406.21","403.58","","-0.07%"
"01/19/2024","404.42","405.25","406.21","403.63","","0.04%"
"01/18/2024","404.25","405.49","406.24","403.63","","-0.06%"
"01/17/2024","404.49","405.61","406.30","403.74","","-0.03%"
"01/16/2024","404.61","405.35","406.30","403.67","","0.06%"
"01/15/2024","404.35","405.35","406.17","403.67","","0.00%"
"01/12/2024","404.35","405.01","406.17","403.51","","0.08%"
"01/11/2024","404.01","405.48","406.24","405.01","","-0.12%"
"01/10/2024","404.48","405.61","406.30","403.74","","-0.03%"
"01/09/2024","404.61","405.23","406.30","403.61","","0.15%"
"01/08/2024","404.00","405.22","406.11","403.61","","-0.05%"
"01/05/2024","404.22","405.42","406.21","403.61","","-0.05%"
"01/04/2024","404.42","405.28","406.21","403.64","","0.03%"
"01/03/2024","404.28","404.79","406.14","403.39","","0.12%"
"01/02/2024","403.79","404.79","405.89","404.39","","0.00%"
"01/01/2024","403.79","404.79","404.79","404.79","","0.00%"
"12/29/2023","403.79","405.15","406.08","403.39","","-0.09%"
"12/28/2023","404.15","405.18","406.09","404.58","","-0.01%"
"12/27/2023","404.18","405.20","406.10","403.59","","0.00%"
"12/26/2023","404.20","404.50","406.10","403.50","","-0.07%"
"12/25/2023","404.50","404.50","404.50","404.50","","-0.02%"
"12/22/2023","404.60","405.62","406.81","403.80","","0.00%"
"12/21/2023","404.62","405.54","405.81","402.50","","0.02%"
"12/20/2023","404.54","405.81","406.40","402.50","","-0.07%"
"12/19/2023","404.81","405.95","406.48","403.50","","-0.03%"
"12/18/2023","404.95","405.30","405.95","404.50","","0.16%"
"12/15/2023","404.30","404.58","406.15","403.29","","0.18%"
"12/14/2023","403.58","404.12","404.79","403.50","","0.11%"
"12/13/2023","403.12","403.54","404.12","403.27","","0.14%"
"12/12/2023","402.54","403.54","403.77","403.12","","0.00%"
"12/11/2023","402.54","403.24","403.77","402.62","","0.07%"
"12/08/2023","402.24","403.43","403.71","402.62","","0.31%"
"12/07/2023","401.00","403.10","403.71","402.05","","-0.27%"
"12/06/2023","402.10","402.95","403.55","400.48","","0.04%"
"12/05/2023","401.95","403.00","403.52","401.98","","-0.02%"
"12/04/2023","402.05","402.88","403.52","402.44","","0.04%"
"12/01/2023","401.88","402.65","403.44","401.83","","0.06%"
"11/30/2023","401.65","402.50","403.33","401.75","","0.04%"
"11/29/2023","401.50","402.29","403.75","402.14","","0.05%"
"11/28/2023","401.29","402.31","403.65","402.14","","0.00%"
"11/27/2023","401.31","402.18","403.15","401.59","","0.03%"
"11/24/2023","401.18","402.41","403.20","401.59","","-0.06%"
"11/23/2023","401.41","402.41","402.41","402.41","","0.00%"
"11/22/2023","401.41","402.55","402.55","402.41","","-0.03%"
"11/21/2023","401.55","402.18","403.28","401.59","","0.09%"
"11/20/2023","401.18","402.41","403.20","401.59","","-0.06%"
"11/17/2023","401.41","402.72","403.36","401.70","","-0.08%"
"11/16/2023","401.72","402.92","403.46","401.86","","-0.05%"
"11/15/2023","401.92","403.19","403.60","400.46","","-0.07%"
"11/14/2023","402.19","402.99","403.60","402.49","","0.05%"
"11/13/2023","401.99","402.59","403.49","401.80","","0.10%"
"11/10/2023","401.59","402.68","403.34","401.80","","-0.02%"
"11/09/2023","401.68","402.51","403.34","402.26","","0.04%"
"11/08/2023","401.51","402.66","403.33","402.26","","-0.04%"
"11/07/2023","401.66","402.34","403.33","401.67","","0.08%"
"11/06/2023","401.34","402.22","403.17","401.61","","0.03%"
"11/03/2023","401.22","402.37","403.18","401.61","","-0.04%"
"11/02/2023","401.37","402.39","402.39","402.37","","0.00%"
"11/01/2023","401.39","403.00","403.50","401.70","","-0.15%"
"10/31/2023","402.00","402.26","403.50","399.63","","0.18%"
"10/30/2023","401.26","402.55","402.77","401.63","","-0.07%"
"10/27/2023","401.55","402.48","403.27","401.74","","0.02%"
"10/26/2023","401.48","402.40","403.24","399.70","","0.02%"
"10/25/2023","401.40","402.35","403.20","399.67","","0.01%"
"10/24/2023","401.35","402.21","402.68","401.61","","0.03%"
"10/23/2023","401.21","401.46","402.61","401.23","","0.19%"
"10/20/2023","400.46","401.82","402.41","400.73","","-0.09%"
"10/19/2023","400.82","401.67","402.41","400.83","","0.04%"
"10/18/2023","400.67","401.50","402.33","400.82","","0.01%"
"10/17/2023","400.63","401.22","402.32","400.61","","0.10%"
"10/16/2023","400.22","402.21","402.61","401.11","","-0.25%"
"10/13/2023","401.21","397.71","402.21","397.71","","1.13%"
"10/12/2023","396.71","395.22","398.36","395.11","","0.63%"
"10/11/2023","394.22","397.52","398.26","395.11","","-0.58%"
"10/10/2023","396.52","404.10","410.50","397.26","","-1.63%"
"10/09/2023","403.10","410.12","410.12","404.10","","-1.47%"
"10/06/2023","409.12","418.52","418.52","409.56","","-2.01%"
"10/05/2023","417.52","429.14","429.57","418.52","","-2.48%"
"10/04/2023","428.14","413.45","429.57","413.45","","1.59%"
"10/03/2023","421.45","406.90","421.45","401.61","","3.58%"
"10/02/2023","406.90","393.40","407.00","390.50","","2.69%"
"09/29/2023","396.25","390.88","396.25","389.94","","1.63%"
"09/28/2023","389.88","388.59","392.44","386.80","","0.59%"
"09/27/2023","387.59","387.71","389.30","387.36","","0.23%"
"09/26/2023","386.71","387.50","388.86","387.25","","0.05%"
"09/25/2023","386.50","387.24","388.75","385.62","","0.07%"
"09/22/2023","386.24","386.35","388.62","384.10","","0.23%"
"09/21/2023","385.35","386.35","387.67","386.17","","0.00%"
"09/20/2023","385.35","386.14","387.67","384.70","","0.05%"
"09/19/2023","385.14","385.81","387.07","384.60","","0.09%"
"09/18/2023","384.81","386.35","387.67","384.50","","-0.14%"
"09/15/2023","385.35","386.04","387.67","384.40","","0.35%"
"09/14/2023","384.00","386.23","387.61","384.25","","-0.32%"
"09/13/2023","385.23","385.84","386.36","385.02","","0.10%"
"09/12/2023","384.84","386.10","387.05","384.42","","-0.07%"
"09/11/2023","385.10","385.65","387.05","384.83","","0.12%"
"09/08/2023","384.65","385.68","386.84","384.83","","-0.01%"
"09/07/2023","384.68","385.83","387.50","384.74","","-0.04%"
"09/06/2023","384.83","385.81","387.50","384.90","","0.01%"
"09/05/2023","384.81","385.90","387.50","385.81","","-0.02%"
"09/04/2023","384.90","385.90","385.90","385.90","","0.00%"
"09/01/2023","384.90","385.78","385.90","385.78","","0.03%"
"08/31/2023","384.78","385.98","385.98","385.78","","-0.05%"
"08/30/2023","384.98","386.15","386.15","385.98","","-0.04%"
"08/29/2023","385.15","385.99","386.15","385.99","","0.04%"
"08/28/2023","384.99","385.98","385.99","385.95","","0.00%"
"08/25/2023","384.98","385.96","386.64","385.28","","0.01%"
"08/24/2023","384.96","386.80","387.40","385.48","","-0.22%"
"08/23/2023","385.80","385.79","387.05","385.39","","0.26%"
"08/22/2023","384.79","386.13","387.07","385.39","","0.21%"
"08/21/2023","384.00","386.13","387.57","385.57","","-0.29%"
"08/18/2023","385.13","386.15","387.58","385.77","","-0.01%"
"08/17/2023","385.15","386.70","387.13","385.48","","0.12%"
"08/16/2023","384.70","386.66","387.83","385.83","","-0.25%"
"08/15/2023","385.66","386.61","387.83","386.30","","0.01%"
"08/14/2023","385.61","386.00","387.80","385.50","","0.16%"
"08/11/2023","385.00","386.05","387.90","386.00","","-0.01%"
"08/10/2023","385.05","386.07","388.40","386.05","","-0.01%"
"08/09/2023","385.07","386.46","386.46","386.07","","-0.10%"
"08/08/2023","385.46","386.09","388.00","386.09","","0.10%"
"08/07/2023","385.09","386.29","388.00","386.09","","-0.05%"
"08/04/2023","385.29","386.86","388.20","386.29","","-0.15%"
"08/03/2023","385.86","386.86","387.93","385.43","","0.00%"
"08/02/2023","385.86","386.18","387.93","386.09","","0.18%"
"08/01/2023","385.18","386.14","387.95","385.57","","0.01%"
"07/31/2023","385.14","386.22","387.11","385.57","","-0.02%"
"07/28/2023","385.22","386.36","388.20","386.11","","-0.04%"
"07/27/2023","385.36","386.40","389.40","385.18","","-0.01%"
"07/26/2023","385.40","386.74","388.80","385.70","","-0.09%"
"07/25/2023","385.74","387.09","388.05","386.37","","-0.09%"
"07/24/2023","386.09","386.48","388.05","386.24","","0.16%"
"07/21/2023","385.48","386.29","389.40","386.14","","0.05%"
"07/20/2023","385.29","387.28","390.10","386.14","","-0.26%"
"07/19/2023","386.28","386.29","390.30","386.14","","0.26%"
"07/18/2023","385.29","386.14","390.60","385.07","","0.04%"
"07/17/2023","385.14","386.01","390.40","386.01","","0.03%"
"07/14/2023","385.01","390.20","390.40","385.01","","-0.82%"
"07/13/2023","388.20","386.26","390.20","385.63","","0.76%"
"07/12/2023","385.26","387.17","388.90","385.13","","-0.24%"
"07/11/2023","386.17","387.09","388.14","386.55","","0.02%"
"07/10/2023","386.09","386.19","387.89","385.10","","0.28%"
"07/07/2023","385.00","386.28","387.24","385.10","","-0.07%"
"07/06/2023","385.28","386.25","387.14","385.13","","0.01%"
"07/05/2023","385.25","386.98","387.49","385.63","","-0.19%"
"07/04/2023","385.98","386.90","387.54","386.39","","0.00%"
"07/03/2023","385.98","386.06","388.00","385.03","","0.24%"
"06/30/2023","385.06","386.32","387.16","385.68","","-0.07%"
"06/29/2023","385.32","386.53","387.65","385.96","","-0.05%"
"06/28/2023","385.53","386.71","387.75","386.36","","-0.05%"
"06/27/2023","385.71","386.55","387.70","386.27","","0.04%"
"06/26/2023","385.55","387.10","387.60","386.17","","-0.14%"
"06/23/2023","386.10","386.14","387.70","385.57","","0.25%"
"06/22/2023","385.14","386.16","388.00","385.07","","-0.01%"
"06/21/2023","385.16","387.08","388.04","386.08","","-0.24%"
"06/20/2023","386.08","387.00","388.04","385.14","","0.21%"
"06/19/2023","385.27","386.54","387.27","385.64","","-0.07%"
"06/16/2023","385.54","386.54","387.27","386.27","","0.00%"
"06/15/2023","385.54","386.60","387.50","386.20","","-0.02%"
"06/14/2023","385.60","386.00","388.11","385.80","","-0.16%"
"06/13/2023","386.21","386.40","387.61","385.20","","0.21%"
"06/12/2023","385.40","386.18","387.20","385.59","","0.36%"
"06/09/2023","384.00","387.00","387.50","384.50","","-0.52%"
"06/08/2023","386.00","386.75","388.02","384.45","","0.06%"
"06/07/2023","385.75","387.04","388.02","384.60","","-0.08%"
"06/06/2023","386.04","387.28","388.14","384.60","","-0.06%"
