"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","1.5198","1.5178","1.5270","1.5166","","0.13%"
"04/04/2024","1.5179","1.5235","1.5243","1.5105","","-0.35%"
"04/03/2024","1.5232","1.5352","1.5380","1.5218","","-0.70%"
"04/02/2024","1.5340","1.5410","1.5428","1.5325","","-0.42%"
"04/01/2024","1.5404","1.5334","1.5432","1.5290","","0.48%"
"03/29/2024","1.5330","1.5346","1.5375","1.5303","","-0.09%"
"03/28/2024","1.5344","1.5302","1.5422","1.5286","","0.29%"
"03/27/2024","1.5300","1.5306","1.5359","1.5290","","-0.03%"
"03/26/2024","1.5305","1.5292","1.5316","1.5243","","0.11%"
"03/25/2024","1.5288","1.5332","1.5366","1.5273","","-0.38%"
"03/22/2024","1.5347","1.5221","1.5362","1.5196","","0.85%"
"03/21/2024","1.5218","1.5184","1.5243","1.5070","","0.24%"
"03/20/2024","1.5181","1.5307","1.5359","1.5178","","-0.86%"
"03/19/2024","1.5312","1.5246","1.5378","1.5231","","0.46%"
"03/18/2024","1.5242","1.5239","1.5268","1.5208","","0.02%"
"03/15/2024","1.5239","1.5200","1.5264","1.5185","","0.30%"
"03/14/2024","1.5193","1.5103","1.5224","1.5077","","0.60%"
"03/13/2024","1.5103","1.5137","1.5152","1.5069","","-0.20%"
"03/12/2024","1.5133","1.5120","1.5188","1.5062","","0.09%"
"03/11/2024","1.5119","1.5082","1.5161","1.5067","","0.23%"
"03/08/2024","1.5085","1.5105","1.5122","1.4994","","-0.12%"
"03/07/2024","1.5103","1.5232","1.5244","1.5093","","-0.85%"
"03/06/2024","1.5232","1.5380","1.5404","1.5192","","-0.92%"
"03/05/2024","1.5373","1.5354","1.5439","1.5331","","0.12%"
"03/04/2024","1.5354","1.5323","1.5369","1.5299","","0.17%"
"03/01/2024","1.5328","1.5386","1.5410","1.5302","","-0.35%"
"02/29/2024","1.5382","1.5394","1.5417","1.5309","","-0.03%"
"02/28/2024","1.5387","1.5276","1.5411","1.5266","","0.71%"
"02/27/2024","1.5279","1.5288","1.5326","1.5245","","-0.06%"
"02/26/2024","1.5288","1.5249","1.5313","1.5220","","0.33%"
"02/23/2024","1.5237","1.5250","1.5268","1.5194","","-0.12%"
"02/22/2024","1.5256","1.5265","1.5292","1.5159","","0.00%"
"02/21/2024","1.5256","1.5272","1.5309","1.5210","","-0.09%"
"02/20/2024","1.5270","1.5288","1.5337","1.5197","","-0.10%"
"02/19/2024","1.5286","1.5320","1.5329","1.5261","","-0.14%"
"02/16/2024","1.5307","1.5330","1.5394","1.5278","","-0.12%"
"02/15/2024","1.5326","1.5406","1.5440","1.5313","","-0.49%"
"02/14/2024","1.5401","1.5499","1.5515","1.5393","","-0.59%"
"02/13/2024","1.5492","1.5321","1.5524","1.5301","","1.18%"
"02/12/2024","1.5312","1.5341","1.5366","1.5280","","-0.09%"
"02/09/2024","1.5326","1.5398","1.5417","1.5302","","-0.51%"
"02/08/2024","1.5404","1.5338","1.5432","1.5306","","0.48%"
"02/07/2024","1.5330","1.5328","1.5350","1.5287","","0.01%"
"02/06/2024","1.5328","1.5428","1.5439","1.5323","","-0.62%"
"02/05/2024","1.5423","1.5345","1.5460","1.5325","","0.48%"
"02/02/2024","1.5349","1.5217","1.5380","1.5125","","0.89%"
"02/01/2024","1.5214","1.5229","1.5366","1.5197","","-0.09%"
"01/31/2024","1.5228","1.5147","1.5265","1.5098","","0.55%"
"01/30/2024","1.5145","1.5127","1.5210","1.5093","","0.14%"
"01/29/2024","1.5124","1.5195","1.5223","1.5113","","-0.55%"
"01/26/2024","1.5207","1.5188","1.5216","1.5128","","0.14%"
"01/25/2024","1.5186","1.5204","1.5231","1.5127","","-0.11%"
"01/24/2024","1.5202","1.5195","1.5232","1.5100","","0.06%"
"01/23/2024","1.5193","1.5221","1.5266","1.5120","","-0.16%"
"01/22/2024","1.5218","1.5169","1.5231","1.5117","","0.42%"
"01/19/2024","1.5154","1.5215","1.5234","1.5145","","-0.37%"
"01/18/2024","1.5211","1.5259","1.5324","1.5207","","-0.29%"
"01/17/2024","1.5256","1.5188","1.5326","1.5161","","0.47%"
"01/16/2024","1.5184","1.5014","1.5207","1.5002","","1.15%"
"01/15/2024","1.5011","1.4949","1.5038","1.4912","","0.38%"
"01/12/2024","1.4954","1.4957","1.4977","1.4858","","0.03%"
"01/11/2024","1.4950","1.4935","1.5045","1.4866","","0.19%"
"01/10/2024","1.4921","1.4955","1.4972","1.4893","","-0.19%"
"01/09/2024","1.4950","1.4882","1.4978","1.4847","","0.48%"
"01/08/2024","1.4879","1.4881","1.4978","1.4847","","-0.09%"
"01/05/2024","1.4892","1.4901","1.5060","1.4817","","-0.09%"
"01/04/2024","1.4905","1.4859","1.4935","1.4790","","0.37%"
"01/03/2024","1.4850","1.4782","1.4922","1.4766","","0.43%"
"01/02/2024","1.4786","1.4674","1.4801","1.4619","","0.74%"
"01/01/2024","1.4678","1.4682","1.4695","1.4660","","-0.01%"
"12/29/2023","1.4680","1.4641","1.4748","1.4604","","0.28%"
"12/28/2023","1.4639","1.4605","1.4655","1.4551","","0.26%"
"12/27/2023","1.4601","1.4656","1.4668","1.4593","","-0.35%"
"12/26/2023","1.4652","1.4683","1.4721","1.4647","","-0.39%"
"12/25/2023","1.4710","1.4714","1.4766","1.4676","","0.04%"
"12/22/2023","1.4704","1.4701","1.4765","1.4650","","0.03%"
"12/21/2023","1.4699","1.4856","1.4870","1.4696","","-1.04%"
"12/20/2023","1.4854","1.4784","1.4873","1.4748","","0.46%"
"12/19/2023","1.4786","1.4906","1.4927","1.4759","","-0.82%"
"12/18/2023","1.4908","1.4925","1.4949","1.4844","","-0.15%"
"12/15/2023","1.4930","1.4927","1.5008","1.4860","","0.06%"
"12/14/2023","1.4921","1.5010","1.5029","1.4860","","-0.57%"
"12/13/2023","1.5006","1.5249","1.5289","1.4983","","-1.56%"
"12/12/2023","1.5244","1.5224","1.5292","1.5122","","0.14%"
"12/11/2023","1.5223","1.5196","1.5270","1.5185","","0.16%"
"12/08/2023","1.5198","1.5151","1.5250","1.5103","","0.37%"
"12/07/2023","1.5142","1.5267","1.5326","1.5105","","-0.82%"
"12/06/2023","1.5267","1.5263","1.5275","1.5155","","0.05%"
"12/05/2023","1.5260","1.5106","1.5282","1.5091","","1.02%"
