"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","92.5000","92.2400","92.5878","92.2400","","0.28%"
"04/04/2024","92.2400","92.3050","92.4871","92.0815","","-0.07%"
"04/03/2024","92.3050","92.5775","92.7450","91.9818","","-0.29%"
"04/02/2024","92.5775","92.1425","92.7632","92.1425","","0.47%"
"04/01/2024","92.1425","92.4800","92.4800","92.1425","","-0.36%"
"03/29/2024","92.4800","92.5000","92.6775","91.9833","","-0.02%"
"03/28/2024","92.5000","92.3050","92.5785","91.9050","","0.21%"
"03/27/2024","92.3050","92.7000","92.8375","91.7770","","-0.43%"
"03/26/2024","92.7000","92.5800","92.8718","92.3600","","0.13%"
"03/25/2024","92.5800","92.7950","93.0475","92.5157","","-0.23%"
"03/22/2024","92.7950","92.0625","92.8689","92.0625","","0.80%"
"03/21/2024","92.0625","92.2500","92.4614","91.4381","","-0.20%"
"03/20/2024","92.2500","92.6475","92.8547","92.1976","","-0.43%"
"03/19/2024","92.6475","91.9175","92.6664","91.7200","","0.79%"
"03/18/2024","91.9175","92.9025","93.4350","91.3277","","-1.06%"
"03/15/2024","92.9025","91.7200","93.0000","91.5818","","1.29%"
"03/14/2024","91.7200","91.5025","91.8287","91.4153","","0.24%"
"03/13/2024","91.5025","91.7800","91.9450","91.2016","","-0.30%"
"03/12/2024","91.7800","90.6275","91.8195","90.5328","","1.27%"
"03/11/2024","90.6275","90.6025","90.8460","90.4468","","0.03%"
"03/07/2024","90.6025","90.5950","91.0781","90.5950","","0.01%"
"03/06/2024","90.5950","90.5200","90.8075","90.0970","","0.08%"
"03/05/2024","90.5200","91.2500","91.5000","90.5200","","-0.80%"
"03/04/2024","91.2500","91.6700","92.0175","91.2121","","-0.46%"
"03/01/2024","91.6700","91.1500","91.8686","91.0400","","0.57%"
"02/29/2024","91.1478","91.1500","91.3671","90.5928","","0.00%"
"02/28/2024","91.1500","92.0525","92.2725","91.1246","","-0.98%"
"02/27/2024","92.0525","92.3725","92.3725","91.8516","","-0.35%"
"02/26/2024","92.3725","92.8525","93.1850","91.8216","","-0.52%"
"02/22/2024","92.8525","92.5500","93.2849","92.0524","","0.33%"
"02/21/2024","92.5500","92.3425","92.6000","92.1667","","0.22%"
"02/20/2024","92.3425","92.3375","92.6625","92.2096","","0.01%"
"02/19/2024","92.3375","92.2225","92.6000","91.9950","","0.12%"
"02/16/2024","92.2225","92.2500","92.9688","92.1623","","-0.03%"
"02/15/2024","92.2500","91.4050","92.5080","91.3325","","0.92%"
"02/14/2024","91.4050","91.3025","91.6455","91.2275","","0.11%"
"02/13/2024","91.3025","91.3100","91.3719","91.0332","","-0.01%"
"02/12/2024","91.3100","90.9000","91.4396","90.8000","","0.45%"
"02/09/2024","90.9000","90.8500","91.1354","90.5375","","0.06%"
"02/08/2024","90.8500","91.2675","91.4508","90.7773","","-0.46%"
"02/07/2024","91.2675","91.2200","91.2822","90.7775","","0.05%"
"02/06/2024","91.2200","90.5750","91.2200","90.4009","","0.71%"
"02/05/2024","90.5750","91.0500","91.5071","90.1198","","-0.52%"
"02/02/2024","91.0500","90.4675","91.2545","90.4175","","0.64%"
"02/01/2024","90.4675","90.0175","90.4911","89.8360","","0.50%"
"01/31/2024","90.0175","89.7200","90.0175","89.4183","","0.33%"
"01/30/2024","89.7200","88.9750","89.7803","88.6553","","0.84%"
"01/29/2024","88.9750","89.7375","90.2175","88.8632","","-0.85%"
"01/26/2024","89.7375","88.8925","89.8097","88.8925","","0.95%"
"01/25/2024","88.8925","88.6075","89.2330","88.3800","","0.32%"
"01/24/2024","88.6075","88.7000","88.7093","88.0991","","-0.10%"
"01/23/2024","88.7000","87.8000","88.7000","87.5975","","1.03%"
"01/22/2024","87.8000","88.2000","88.5666","87.7254","","-0.45%"
"01/19/2024","88.2000","89.0500","89.4050","88.2000","","-0.95%"
"01/18/2024","89.0500","88.9500","89.6466","88.5411","","0.11%"
"01/17/2024","88.9500","87.8525","89.0039","87.8525","","1.25%"
"01/16/2024","87.8525","87.6000","88.9713","87.4545","","0.29%"
"01/15/2024","87.6000","88.4100","88.4400","87.3827","","-0.92%"
"01/12/2024","88.4100","88.5900","88.5900","87.9791","","-0.20%"
"01/11/2024","88.5900","89.3300","89.3991","88.4852","","-0.83%"
"01/10/2024","89.3300","89.8975","90.0550","89.0489","","-0.63%"
"01/09/2024","89.8975","91.1525","91.7475","89.0451","","-1.38%"
"01/08/2024","91.1525","90.9500","91.6787","90.4491","","0.22%"
"01/05/2024","90.9500","91.3325","91.7063","90.8100","","-0.42%"
"01/04/2024","91.3325","92.0000","92.4475","91.0720","","-0.73%"
"01/03/2024","92.0000","90.3600","92.0000","90.3600","","1.81%"
"12/29/2023","90.3600","89.3600","90.5701","88.8773","","1.12%"
"12/28/2023","89.3600","91.2700","91.2700","89.2805","","-2.09%"
"12/27/2023","91.2700","91.6600","91.9793","91.2369","","-0.43%"
"12/26/2023","91.6600","91.7500","91.9388","91.3750","","-0.10%"
"12/25/2023","91.7500","92.0000","92.1875","91.6576","","-0.27%"
"12/22/2023","92.0000","92.1500","92.4480","91.5975","","-0.16%"
"12/21/2023","92.1500","90.9625","92.5787","90.4600","","1.31%"
"12/20/2023","90.9625","90.3400","90.9813","90.0833","","0.69%"
"12/19/2023","90.3400","90.0575","90.5380","89.7440","","0.31%"
"12/18/2023","90.0575","90.2750","90.7227","89.8480","","-0.24%"
"12/15/2023","90.2750","89.8750","90.5459","89.4608","","0.45%"
"12/14/2023","89.8750","90.0125","90.2182","89.3575","","-0.15%"
"12/13/2023","90.0125","89.9975","90.2001","89.6036","","0.02%"
"12/12/2023","89.9975","90.6900","90.6900","89.8190","","-0.76%"
"12/11/2023","90.6900","91.8975","92.2385","90.4628","","-1.31%"
"12/08/2023","91.8975","92.1000","92.4347","90.9205","","-0.22%"
"12/07/2023","92.1000","92.8200","93.5296","92.1000","","-0.78%"
"12/06/2023","92.8200","92.2750","93.3246","91.9319","","0.59%"
"12/05/2023","92.2750","90.9275","92.5629","90.9275","","1.48%"
"12/04/2023","90.9275","90.4075","91.1542","90.3238","","0.58%"
"12/01/2023","90.4075","89.4525","90.4550","89.1500","","1.07%"
"11/30/2023","89.4525","88.5500","89.5811","88.3548","","1.02%"
"11/29/2023","88.5500","89.4400","89.4400","88.3717","","-1.00%"
"11/28/2023","89.4400","88.8050","89.4400","88.5437","","0.72%"
"11/27/2023","88.8050","88.6000","89.0350","88.3009","","0.23%"
"11/24/2023","88.6000","88.4000","89.3049","88.3163","","0.23%"
"11/23/2023","88.4000","88.3500","88.4906","87.9262","","0.06%"
"11/22/2023","88.3500","87.8675","88.5757","87.8613","","0.55%"
"11/21/2023","87.8675","88.4000","88.4000","87.6858","","-0.60%"
"11/20/2023","88.4000","90.0000","90.0000","88.1459","","-1.78%"
"11/17/2023","90.0000","89.1500","90.3849","88.9623","","0.95%"
"11/16/2023","89.1500","89.4575","89.5825","88.5892","","-0.34%"
"11/15/2023","89.4575","90.6000","90.6000","88.7921","","-1.26%"
"11/14/2023","90.6000","91.6200","91.9000","90.4048","","-1.11%"
"11/13/2023","91.6200","92.2925","92.4731","91.5423","","-0.73%"
"11/10/2023","92.2925","92.0375","92.3232","91.9299","","0.28%"
"11/09/2023","92.0375","92.0175","92.1800","91.7525","","0.02%"
"11/08/2023","92.0175","92.2600","92.4593","91.7789","","-0.26%"
"11/07/2023","92.2600","92.3925","92.9400","92.1802","","-0.14%"
"11/06/2023","92.3925","92.4225","92.6330","92.0684","","-0.03%"
"11/03/2023","92.4225","93.3500","93.6660","92.3114","","-0.99%"
"11/02/2023","93.3500","92.7400","93.3600","92.6642","","0.66%"
